seed,consumption,ela3,ela4,ela5,neg_vectors_total,out_of_box_total
42,0.446732,2.09,2.52,2.85,3,4
42,0.827446,2.05,2.44,2.89,3,4
97,2.281834,2.98,3.95,5.86,0,0
97,1.609767,5.94,11.03,24.46,0,0
97,1.585186,6.23,11.93,29.01,0,0
97,1.548022,6.97,13.37,31.26,0,0
97,1.370735,12.85,27.88,53.0,0,0
97,1.44549,11.86,28.96,36.77,0,0
97,1.419262,13.16,36.85,49.24,0,0
97,1.63167,5.57,10.06,22.17,0,0
97,1.725234,4.65,8.14,16.59,0,0
97,1.629117,7.2,14.52,17.29,0,0
97,1.697212,4.87,8.37,16.79,0,0
97,1.457871,9.51,17.34,29.44,0,0
97,1.52297,9.23,17.69,21.01,0,0
97,1.64862,5.37,9.84,22.03,0,0
97,1.63403,7.08,14.15,16.91,0,0
97,1.692835,5.61,10.21,14.39,0,0
97,1.547614,8.8,18.17,21.93,0,0
97,1.554177,8.7,17.74,21.25,0,0
97,1.745732,4.67,8.13,13.85,0,0
97,1.748763,4.75,8.45,13.7,0,0
97,1.519551,8.39,15.09,22.77,0,0
97,1.583772,6.29,10.58,20.99,0,0
97,1.632126,7.11,14.21,17.03,0,0
97,1.571443,6.51,10.84,20.76,0,0
97,1.705356,5.51,10.1,14.0,0,0
97,1.551393,6.87,11.92,24.24,0,0
97,1.487359,8.22,14.15,28.45,0,0
97,1.731907,4.62,7.62,14.15,0,0
97,1.693936,6.06,11.38,13.3,0,0
97,1.659784,5.43,9.21,17.1,0,0
97,1.836641,4.27,7.2,10.4,0,0
97,1.617924,7.49,13.7,16.17,0,0
97,1.555735,8.33,15.46,18.8,0,0
97,1.706113,5.88,10.68,12.28,0,0
97,1.758316,5.24,9.65,11.64,0,0
97,1.535964,7.11,11.56,21.95,0,0
97,1.801525,4.94,8.65,10.28,0,0
97,1.619632,7.24,13.85,16.41,0,0
97,1.778254,4.74,8.12,12.0,0,0
97,1.830618,4.16,6.97,11.03,0,0
97,1.843587,4.58,7.92,9.62,0,0
97,1.743803,5.39,9.2,11.65,0,0
97,1.660799,6.22,11.25,14.73,0,0
97,1.695797,5.73,10.14,12.91,0,0
97,1.807284,4.26,7.15,11.84,0,0
97,1.38237,13.38,23.17,27.22,0,0
97,1.613881,7.41,12.96,17.13,0,0
97,1.834394,3.88,6.29,12.26,0,0
97,1.660628,6.48,12.16,14.59,0,0
97,1.791688,4.14,6.71,12.7,0,0
97,1.953161,3.88,6.15,8.32,0,0
97,1.881033,3.73,5.69,10.27,0,0
97,1.769789,4.65,7.92,12.72,0,0
97,1.772447,4.62,7.98,12.24,0,0
97,1.851575,4.12,6.9,10.82,0,0
97,1.760081,5.3,9.76,11.44,0,0
97,1.869393,3.77,5.95,10.85,0,0
97,1.894147,3.65,5.57,10.3,0,0
97,1.665988,5.32,8.82,15.81,0,0
97,1.590821,7.25,13.11,18.38,0,0
97,1.601356,6.33,10.94,19.36,0,0
97,1.715478,4.84,8.29,14.87,0,0
97,1.634229,6.58,11.6,14.89,0,0
97,1.676737,6.34,12.05,14.1,0,0
97,1.773129,4.27,7.07,13.67,0,0
97,1.838499,3.97,6.32,11.0,0,0
97,1.704553,5.11,8.89,15.39,0,0
97,1.485666,9.1,15.19,21.37,0,0
97,1.559769,6.78,10.77,19.17,0,0
97,1.827813,3.98,6.51,12.0,0,0
97,1.588583,7.77,14.35,16.82,0,0
97,1.858726,4.2,7.07,9.89,0,0
97,1.715726,5.83,10.32,11.88,0,0
97,1.861168,4.0,6.51,10.47,0,0
97,1.712118,5.72,9.62,12.19,0,0
97,2.007702,4.08,4.71,6.98,0,0
145,2.111448,2.58,2.72,3.4,0,44
145,1.673045,5.57,8.52,12.75,0,44
145,1.766465,5.91,6.66,9.27,0,44
145,1.766603,5.03,6.37,9.8,0,44
145,1.562195,8.41,9.03,13.5,0,44
145,1.562995,8.39,9.01,13.46,0,44
145,1.746068,5.5,7.14,14.07,0,44
145,1.573467,7.88,9.14,14.03,0,44
145,1.562995,8.39,9.01,13.46,0,44
145,1.900762,4.3,5.27,9.54,0,44
145,1.422226,12.09,16.45,31.14,0,44
