seed,consumption,ela3,ela4,ela5,neg_vectors_total,out_of_box_total
42,1.611856,2.11,2.33,3.0,32,42
42,1.553609,2.2,2.49,3.07,32,42
42,1.582659,2.12,2.49,3.07,32,42
42,0.799373,2.38,2.51,2.87,32,42
97,1.44094,2.11,2.62,3.0,19,37
97,1.582659,2.12,2.49,3.07,19,37
97,1.158361,2.37,2.62,2.97,19,37
97,1.499785,2.33,2.56,3.06,19,37
145,1.647219,9.4,10.62,12.08,28,39
145,1.505811,10.58,18.4,29.07,28,39
145,1.561415,7.25,11.18,16.52,28,39
145,1.462755,12.93,22.47,27.19,28,39
145,1.551663,7.0,11.83,23.94,28,39
145,1.2932,24.85,36.04,43.6,28,39
145,1.511437,7.69,14.83,39.55,28,39
145,1.579003,9.26,10.11,12.52,28,39
145,1.367277,15.27,19.52,30.72,28,39
145,1.621433,7.06,11.2,12.52,28,39
145,1.505006,12.28,17.83,28.17,28,39
145,1.470699,13.27,17.63,20.28,28,39
145,1.700463,8.49,9.58,10.9,28,39
145,1.555984,9.89,16.35,19.39,28,39
145,1.707067,1.92,2.33,3.0,28,39
145,1.549191,12.21,13.92,16.02,28,39
145,1.86271,1.89,2.23,2.97,28,39
295,1.931662,1.72,2.16,2.94,17,26
295,1.148034,2.44,2.84,3.0,17,26
295,1.683768,2.57,2.82,3.18,17,26
346,1.520959,9.67,13.17,14.52,15,32
346,1.436574,13.27,21.04,24.54,15,32
346,1.664931,2.7,2.82,3.18,15,32
346,1.590316,10.08,11.2,12.52,15,32
346,1.780586,2.46,2.55,3.18,15,32
346,1.385541,11.35,17.48,30.29,15,32
346,1.419209,10.28,15.46,25.81,15,32
346,1.452571,9.35,13.77,22.26,15,32
346,1.285875,17.44,26.7,58.02,15,32
346,1.471726,8.76,13.17,22.0,15,32
346,1.600635,8.16,10.62,17.4,15,32
346,2.64544,2.26,2.38,3.35,15,32
346,2.485584,2.33,2.7,3.74,15,32
346,1.349032,15.83,22.91,30.29,15,32
346,1.332519,21.84,31.68,38.33,15,32
346,1.662955,6.31,7.74,12.52,15,32
346,1.483468,12.61,13.77,15.1,15,32
346,1.490815,11.35,13.77,15.1,15,32
346,1.498156,10.28,13.77,15.1,15,32
346,1.51599,11.35,12.34,13.46,15,32
346,1.680905,2.46,3.0,3.18,15,32
448,1.747667,6.5,7.56,18.03,15,19
448,1.615184,7.96,8.85,16.02,15,19
448,1.579361,7.0,11.83,19.39,15,19
448,1.493279,10.13,14.66,19.39,15,19
448,2.844717,2.15,2.62,3.61,15,19
448,1.783059,5.32,7.39,9.29,15,19
448,1.683293,6.19,9.06,9.89,15,19
448,1.357632,23.9,41.01,55.16,15,19
448,1.464906,11.51,14.98,24.54,15,19
448,1.823721,4.93,6.83,16.35,15,19
448,1.879441,3.76,5.81,10.72,15,19
448,1.821894,4.51,7.59,20.28,15,19
448,2.194563,2.29,2.69,3.45,15,19
448,1.573124,7.96,10.51,12.86,15,19
448,1.390956,17.59,20.05,27.92,15,19
448,2.097922,2.58,2.7,3.35,15,19
448,1.821919,5.94,7.39,8.16,15,19
448,1.527974,9.09,11.83,23.94,15,19
448,1.454228,12.93,14.92,35.5,15,19
448,1.465863,10.96,14.92,35.5,15,19
448,1.5074,10.96,12.5,27.19,15,19
448,1.437589,13.98,16.35,43.6,15,19
448,1.834311,5.14,5.55,8.49,15,19
448,1.63023,7.26,7.82,11.47,15,19
448,1.561323,8.16,12.5,21.49,15,19
448,1.543344,9.08,12.73,33.96,15,19
448,1.600755,6.19,9.92,17.97,15,19
448,1.648011,5.54,8.7,15.1,15,19
448,1.661867,6.98,7.69,12.86,15,19
448,1.698276,5.0,7.69,12.86,15,19
448,1.652645,5.48,8.85,16.02,15,19
448,1.704805,4.93,7.76,13.46,15,19
448,1.372983,11.47,20.05,43.6,15,19
448,1.619242,9.09,10.18,13.46,15,19
448,1.897253,2.44,3.05,3.27,15,19
448,1.690021,7.25,8.81,9.66,15,19
448,1.524474,9.01,14.66,16.52,15,19
448,2.526037,2.37,2.62,3.66,15,19
448,1.590316,10.08,11.2,12.52,15,19
448,1.853293,4.36,7.45,10.1,15,19
584,1.344497,21.04,25.04,53.81,29,37
584,1.315803,20.19,27.48,39.55,29,37
584,1.374354,2.41,2.75,2.97,29,37
584,1.243703,34.77,41.37,50.04,29,37
584,1.344664,14.08,19.92,36.04,29,37
619,1.382242,2.13,2.42,3.0,18,26
619,1.182612,2.44,2.68,3.0,18,26
619,1.667334,2.03,2.43,3.06,18,26
619,2.928473,1.82,2.32,3.35,18,26
772,0.98035,2.11,2.35,2.87,17,32
833,1.384708,2.19,2.5,2.94,11,25
833,1.671356,2.0,2.38,2.97,11,25
833,1.161075,2.57,2.68,3.0,11,25
833,1.329133,2.04,2.47,2.97,11,25
833,1.227391,2.54,2.71,2.94,11,25
