seed,consumption,ela3,ela4,ela5,neg_vectors_total,out_of_box_total
42,1.454891,2.09,2.4,3.01,1,6
42,1.262244,2.18,2.64,2.99,1,6
97,0.790997,1.95,2.27,2.85,2,4
97,0.796145,1.96,2.25,2.83,2,4
145,1.634164,2.28,2.7,3.13,2,6
145,1.389813,2.63,2.75,3.07,2,6
145,1.383324,13.02,20.95,49.83,2,6
145,1.634164,2.28,2.7,3.13,2,6
145,1.634164,2.28,2.7,3.13,2,6
145,1.389813,2.63,2.75,3.07,2,6
145,1.389813,2.63,2.75,3.07,2,6
295,1.613532,8.46,9.9,11.38,2,4
295,1.936727,4.11,8.48,21.52,2,4
295,1.580897,7.83,10.72,24.07,2,4
295,1.819348,4.56,7.15,9.57,2,4
295,1.787207,4.97,6.75,10.41,2,4
295,1.910334,4.38,5.09,9.11,2,4
295,1.36304,12.59,20.81,37.1,2,4
295,1.693985,5.52,10.09,28.37,2,4
295,1.678185,7.9,8.86,10.9,2,4
295,1.848676,5.35,6.06,8.01,2,4
295,1.438341,12.85,17.47,24.65,2,4
295,1.453393,12.72,18.87,52.83,2,4
295,1.416649,12.43,20.79,35.55,2,4
295,1.738607,5.78,8.96,10.34,2,4
295,1.70466,5.52,7.14,11.03,2,4
295,1.853464,4.75,6.74,8.49,2,4
295,1.580897,7.83,10.72,24.07,2,4
295,1.86694,4.31,6.6,8.79,2,4
295,1.809879,4.81,6.47,9.93,2,4
295,1.809053,4.86,6.59,10.02,2,4
295,1.910334,4.38,5.09,9.11,2,4
295,1.910334,4.38,5.09,9.11,2,4
295,1.541443,9.05,13.9,20.55,2,4
295,1.693985,5.52,10.09,28.37,2,4
295,1.693985,5.52,10.09,28.37,2,4
295,1.640195,8.47,9.55,11.76,2,4
295,1.970696,4.64,5.21,6.9,2,4
295,1.871699,4.91,6.4,11.3,2,4
295,1.970853,2.12,2.56,3.2,2,4
295,1.453393,12.72,18.87,52.83,2,4
295,1.453393,12.72,18.87,52.83,2,4
295,1.416649,12.43,20.79,35.55,2,4
295,1.416649,12.43,20.79,35.55,2,4
295,1.434721,13.63,24.55,31.31,2,4
295,1.67609,6.03,8.81,12.19,2,4
295,1.738602,5.2,6.72,10.42,2,4
295,1.700656,5.56,7.2,11.11,2,4
295,1.488323,9.62,19.62,35.84,2,4
295,1.607584,6.44,10.32,15.23,2,4
295,1.853464,4.75,6.74,8.49,2,4
295,1.853464,4.75,6.74,8.49,2,4
295,1.925842,4.39,6.05,7.59,2,4
295,1.853464,4.75,6.74,8.49,2,4
346,0.579293,2.14,2.41,2.86,1,6
448,1.890817,2.34,2.6,3.19,2,5
448,1.687901,5.45,10.1,22.64,2,5
448,1.336251,17.15,23.26,39.66,2,5
448,1.646598,8.43,10.81,13.17,2,5
448,1.424694,15.7,20.47,33.65,2,5
448,1.874973,2.31,2.67,3.21,2,5
448,1.607966,7.44,10.52,22.2,2,5
448,1.640471,6.64,11.76,14.76,2,5
448,1.664006,7.02,7.84,11.39,2,5
448,1.574622,9.03,14.18,18.04,2,5
448,1.554399,8.63,11.73,29.5,2,5
448,1.730608,2.28,2.74,3.13,2,5
448,1.351746,15.98,37.51,50.0,2,5
448,1.610611,7.76,9.2,13.22,2,5
448,1.458331,11.09,20.45,27.88,2,5
448,1.534366,10.9,14.04,34.8,2,5
448,1.890817,2.34,2.6,3.19,2,5
448,1.890817,2.34,2.6,3.19,2,5
448,1.482301,10.87,14.98,26.1,2,5
448,1.646598,8.43,10.81,13.17,2,5
448,1.424694,15.7,20.47,33.65,2,5
448,1.424694,15.7,20.47,33.65,2,5
448,1.396297,17.43,23.07,39.11,2,5
448,1.655356,5.94,9.1,16.13,2,5
448,1.664006,7.02,7.84,11.39,2,5
448,1.664006,7.02,7.84,11.39,2,5
448,1.351746,15.98,37.51,50.0,2,5
448,1.506636,8.28,14.68,27.89,2,5
584,1.318672,2.49,2.65,2.98,3,7
584,1.309235,22.38,30.62,41.94,3,7
584,2.2188,2.32,2.76,3.46,3,7
619,1.577968,9.02,10.95,14.4,2,10
619,1.649534,2.27,2.68,3.13,2,10
619,1.57749,7.52,12.86,30.29,2,10
619,1.561468,8.78,12.09,21.02,2,10
619,1.491899,11.23,13.64,15.45,2,10
619,1.600255,8.5,10.92,21.55,2,10
619,1.559515,9.45,14.82,20.75,2,10
619,1.609814,8.36,9.27,14.15,2,10
619,2.421803,2.11,2.55,3.39,2,10
