seed,consumption,ela3,ela4,ela5,neg_vectors_total,out_of_box_total
42,1.475677,11.93,13.93,16.69,2,7
42,1.582242,2.28,2.85,3.09,2,7
42,1.36543,13.13,23.65,39.28,2,7
42,1.445608,14.18,18.46,21.83,2,7
42,1.463746,11.38,13.62,26.82,2,7
42,1.526034,2.29,2.48,3.06,2,7
42,1.406579,11.48,16.94,32.46,2,7
42,1.378199,13.05,26.63,53.08,2,7
42,1.476195,11.76,13.43,18.31,2,7
42,1.413346,12.53,15.88,27.3,2,7
42,1.30078,17.55,29.79,43.95,2,7
42,1.897219,1.9,2.2,2.97,2,7
42,1.519603,11.23,17.44,24.2,2,7
97,0.510572,2.16,2.43,2.85,4,12
145,1.125598,2.24,2.56,2.91,2,5
295,1.440335,2.3,2.62,3.01,3,7
295,1.388633,11.79,22.15,38.32,3,7
295,1.391883,13.9,21.41,27.25,3,7
295,1.353125,20.57,26.77,40.38,3,7
295,1.738578,1.84,2.26,2.95,3,7
295,1.424871,16.21,19.82,25.76,3,7
346,1.634059,2.26,2.6,3.03,2,10
346,2.201706,2.14,2.56,3.31,2,10
346,1.070333,2.4,2.57,2.94,2,10
346,1.999241,2.16,2.72,3.19,2,10
346,0.632001,2.21,2.7,2.89,2,10
448,1.351353,15.61,22.73,59.15,3,5
448,1.496029,2.23,2.72,3.01,3,5
448,1.407151,10.62,17.96,31.73,3,5
448,1.37777,12.13,23.27,42.47,3,5
448,1.254341,24.87,44.06,54.48,3,5
448,1.37987,14.01,28.45,41.88,3,5
448,1.480737,10.87,18.87,25.16,3,5
448,1.347866,18.97,27.46,36.85,3,5
448,1.473451,11.3,13.22,20.65,3,5
448,1.544098,2.19,2.45,3.05,3,5
448,1.462241,10.25,15.64,26.8,3,5
584,1.5814,7.69,13.38,24.62,7,13
584,2.211248,2.13,2.78,3.18,7,13
584,1.448336,11.41,16.13,19.99,7,13
584,1.441415,10.38,17.21,44.88,7,13
584,1.537345,8.77,13.81,20.99,7,13
584,1.438443,14.07,16.77,20.52,7,13
584,1.491551,12.11,14.84,21.94,7,13
584,1.612178,7.12,9.71,14.11,7,13
584,1.529316,8.92,16.95,21.96,7,13
584,1.587645,7.16,12.64,19.41,7,13
584,1.401008,10.98,19.02,39.96,7,13
584,1.939514,2.25,2.72,3.22,7,13
584,1.479627,9.54,13.81,26.69,7,13
584,1.615156,2.39,2.72,3.11,7,13
584,1.534854,10.42,12.39,16.78,7,13
584,1.368735,12.06,23.04,55.99,7,13
584,1.546359,8.29,11.36,13.96,7,13
584,1.587877,6.95,11.32,21.46,7,13
584,1.61,8.21,10.71,16.8,7,13
619,0.814785,2.02,2.24,2.83,3,12
619,1.045054,2.01,2.46,2.89,3,12
772,0.844745,2.2,2.52,2.91,2,9
772,1.308143,2.07,2.37,2.94,2,9
833,0.493026,2.45,2.6,2.86,1,7
833,1.212043,1.91,2.4,2.89,1,7
