algo,seed,evaluation,timestamp,t_env_ms,wall_time_s,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,rank,cd_raw,cd_tilde,phase,worker_id,rollout_id,loss_actor,loss_critic,entropy_mean,total_loss,update_time_ms
A3C,145,1.0,1757706108.5975502,5417.618584004231,5.4258965000044554,4.735222088920536,0.2602700997886104,1.9457716630503124,1.7832758251864465,1.337505772286126,2.285154,3.21,3.67,6.4,1.0,1.0,inf,1.0,rollout,1,1,,,,,
A3C,145,2.0,1757706108.6641579,5478.615166037343,5.489151875022799,3.557635250327041,0.3523978239422231,1.5559968715431314,1.1542297999155084,0.9530358237678522,1.355684,15.54,28.24,41.4,1.0,1.0,inf,1.0,rollout,0,1,,,,,
A3C,145,3.0,1757706114.110206,5503.99933301378,5.512303666095249,4.22425703065921,0.21258615107884726,1.9260429321751655,1.7342447916406187,1.566626920265787,2.459427,2.89,3.34,3.94,1.0,1.0,inf,1.0,rollout,1,1,,,,,
A3C,145,4.0,1757706114.180916,5511.157916043885,5.516325332922861,3.002661487099514,0.20000006070972548,2.562923359139295,2.2831502101286762,2.182662026506227,2.173374,2.88,3.37,3.61,1.0,1.0,inf,1.0,rollout,0,1,,,,,
A3C,145,5.0,1757706119.633482,5515.530874952674,5.522896833019331,4.324400779988325,0.21905772286853334,2.061913231980768,1.875186088645823,1.765269619645634,1.975614,2.7,3.02,3.29,1.0,1.0,inf,1.0,rollout,1,1,,,,,
A3C,145,6.0,1757706119.70093,5515.027374960482,5.519747083075345,3.873665702596526,0.23030463985025004,2.262597710383636,1.831793909846781,1.727763060442272,2.386273,2.91,4.01,4.45,0.27623782158161186,3.0,0.0,0.0,rollout,0,1,,,,,
A3C,145,7.0,1757706121.699069,2055.6632499210536,2.0650354579556733,3.921663758829994,0.2705678561178818,1.3933233512055772,0.9758379491896652,0.8651973754693688,1.563029,9.4,19.17,24.38,0.9999999999999571,1.0,3.999999999998243,0.99999999999975,rollout,1,1,,,,,
A3C,145,9.0,1757706122.311778,607.9398749861866,0.6124823340214789,3.0238482633031047,0.20002197131275418,2.245025661502317,2.145004805268121,2.0449184446999276,2.273099,3.42,3.68,3.98,0.27623782158161186,3.0,0.0,0.0,rollout,1,1,,,,,
A3C,145,,1757706122.3264158,,,,,,,,,,,,,,,,update,1,1,-94.17993805506876,3.516910033216399,3.6231483969537104,-90.69658118176707,12.82962504774332
A3C,145,10.0,1757706122.940917,610.1673750672489,0.6138472920283675,3.9804700842818215,0.26214312537607165,2.0291931373461223,1.8330775475229637,1.7190694808539453,2.195741,4.01,4.84,5.51,0.27623782158161186,3.0,0.0,0.0,rollout,1,2,,,,,
A3C,145,11.0,1757706123.552128,606.5689999377355,0.6110252920771018,3.437796731259292,0.21296579576246155,1.6289492572064284,1.1452901813619718,1.044776854871548,1.76538,5.42,11.21,13.48,0.9714729772342442,1.0,2.3811045201303975,0.833454376765463,rollout,1,2,,,,,
A3C,145,12.0,1757706124.168649,611.7079589748755,0.6163430829765275,3.1258747972723793,0.20093637826721256,1.7829145540665012,1.5600628600028874,1.460036360273556,2.002401,4.87,6.44,7.42,0.4143567323724178,2.0,0.0,0.0,rollout,1,2,,,,,
A3C,145,13.0,1757706124.782531,608.667999971658,0.6136655840091407,3.5123463131022543,0.20926479208470905,2.6296021624274095,2.148704784390729,2.0423250046427186,2.032189,2.49,3.13,3.37,1.0,1.0,inf,1.0,rollout,1,2,,,,,
A3C,145,14.0,1757706125.398439,610.0255420897156,0.6156967090209946,4.444315718092118,0.22460963170086423,2.401636286953991,2.053706457686241,1.952985736498675,0.490453,2.32,2.71,2.86,1.0,1.0,inf,1.0,rollout,1,2,,,,,
A3C,145,,1757706125.411359,,,,,,,,,,,,,,,,update,1,2,67.68339105857456,2.945060296529574,3.7633610544791636,70.59359971740032,10.96383307594806
A3C,145,15.0,1757706126.0302742,614.2525840550661,0.6182828329037875,3.653701958981257,0.2604345497239386,2.8738212637025677,2.4190937940607977,2.105905682359058,2.367106,2.73,3.42,4.32,0.27623782158161186,3.0,0.0,0.0,rollout,1,3,,,,,
A3C,145,16.0,1757706126.645698,610.1119170198217,0.6152353750076145,4.494701317618581,0.24959082089226964,1.570194241080404,1.1501812130475406,1.0161508354572215,1.881871,4.69,8.93,11.45,0.4143567323724178,2.0,0.0,0.0,rollout,1,3,,,,,
