algo,seed,evaluation,timestamp,t_env_ms,wall_time_s,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,rank,cd_raw,cd_tilde,phase,worker_id,rollout_id,loss_actor,loss_critic,entropy_mean,total_loss,update_time_ms
A3C,448,1.0,1757730842.15808,5652.562125003897,5.658979040919803,3.5046127560157836,0.2669357826913474,1.4713019889655934,1.175712426614283,0.7940443159666531,1.493747,10.27,16.09,35.27,1.0,1.0,inf,1.0,rollout,0,1,,,,,
A3C,448,2.0,1757730842.222075,5712.502874899656,5.723488084040582,5.063518351798472,0.3314571876146388,2.1624789107592615,1.9087708184883763,1.7227901907266467,2.239272,3.57,4.42,5.41,1.0,1.0,inf,1.0,rollout,1,1,,,,,
A3C,448,3.0,1757730844.167258,2003.606249927543,2.0089462499599904,4.024718489063186,0.20450817953498857,1.4158210843059083,0.9207500228401915,0.8204734875944513,1.873524,4.83,11.67,14.71,0.9999999999999698,1.0,3.9999999999983906,0.99999999999975,rollout,0,1,,,,,
A3C,448,5.0,1757730844.782798,610.6035419506952,0.6153441249625757,4.2559815785829604,0.2012182737181319,2.054548536671768,1.6157494103676535,1.116740271340981,2.47383,2.53,3.38,6.83,1.0,1.0,inf,1.0,rollout,0,1,,,,,
A3C,448,6.0,1757730845.395854,608.2084579393268,0.6128703750437126,4.86323942708529,0.20021462622270098,1.7871026767059925,1.3926773977593556,1.1694646892490952,2.797852,2.54,3.44,4.65,1.0,1.0,inf,1.0,rollout,0,1,,,,,
A3C,448,7.0,1757730846.0082161,607.5972079997882,0.6121745830168948,4.9467328722473685,0.3776897949033782,1.9291649023677224,1.603853218208563,1.2398396789840385,1.700104,5.9,8.69,14.54,0.9907248950840082,1.0,1.8218240917116473,0.9230501973778618,rollout,0,1,,,,,
A3C,448,,1757730846.0234098,,,,,,,,,,,,,,,,update,0,1,877843173891.5905,10.784596813847397,-1.1618705587392621,877843173902.3844,13.361374964006245
A3C,448,8.0,1757730846.635875,608.2120831124485,0.6118326670257375,4.889576276189368,0.3769643186063031,1.9294895762530495,1.5276158208360717,1.0284372133525643,1.63108,6.02,9.76,21.55,0.999999999999926,1.0,1.6287535935224335,0.9999999999993859,rollout,0,2,,,,,
A3C,448,9.0,1757730847.25012,609.5343340421095,0.6140668329317123,4.276238817159018,0.36696690430345247,1.7115705013193867,1.2376929198421573,1.0353987949956012,1.493512,9.64,18.43,26.34,1.0,1.0,inf,1.0,rollout,0,2,,,,,
A3C,448,10.0,1757730847.8656719,610.6587910326198,0.6153494169702753,4.261295086278821,0.20144031901623344,1.8620054002793567,1.3895472442788277,0.8895472444022252,2.219566,2.8,4.36,10.83,0.9447356503476965,1.0,0.7303959085473224,0.5415059089570585,rollout,0,2,,,,,
A3C,448,11.0,1757730848.479705,608.2095419988036,0.6138354160357267,4.1508246299486,0.22207779503382757,2.0493657812736834,1.6420776977973826,1.1698952087570482,2.213997,2.89,4.03,8.02,0.9293579587794062,1.0,0.5565468035380889,0.41392672341880854,rollout,0,2,,,,,
A3C,448,12.0,1757730849.093367,608.3867501001805,0.6133249580161646,4.871762696303772,0.35103927343136104,2.0378024525635245,1.653305266703476,1.1832638600266088,1.765078,4.69,7.26,14.22,0.966774384972637,1.0,1.0999041580169484,0.724347644418928,rollout,0,2,,,,,
A3C,448,,1757730849.107507,,,,,,,,,,,,,,,,update,0,2,24891560606.756954,12.795111478451435,-3.072449099142772,24891560619.577038,12.342792004346848
A3C,448,13.0,1757730849.7255528,613.5225410107523,0.6174100419739261,3.7461746483155065,0.20000628266418732,1.7805362771080162,1.3504381787989002,1.1408838036722728,2.097742,3.51,5.88,8.39,0.9360230167069619,1.0,0.7125029993791551,0.46922258224044217,rollout,0,3,,,,,
A3C,448,14.0,1757730850.344378,613.7770829955116,0.6186659160302952,4.659292872197367,0.20405103693505694,2.006265530759662,1.6693507289874252,1.1693508500725784,2.743622,2.4,2.91,5.25,1.0,1.0,inf,1.0,rollout,0,3,,,,,
A3C,448,15.0,1757730850.958944,608.0230419756845,0.6143750000046566,5.316790621434657,0.3252042227908063,1.8594349973816842,1.4517213162854679,1.3500695496243134,2.013972,4.1,6.76,7.87,0.9217876808975355,1.0,0.5251375233684535,0.3511208151211779,rollout,0,3,,,,,
