algo,seed,evaluation,timestamp,t_env_ms,wall_time_s,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,rank,cd_raw,cd_tilde,phase,cycle,select_mode,y_pred,y_pred_std
AL,295,1,1757854546.996495,5485.472333966754,5.488056333968416,4.25,0.4,1.2,0.975,0.875,1.322474,23.59,35.72,44.33,1.0,1,inf,1.0,init,0,random,,
AL,295,2,1757854552.5257652,5527.86945796106,5.5291883329628035,5.25,0.2,1.7000000000000002,1.475,1.125,2.915667,2.47,2.86,4.32,1.0,1,inf,1.0,init,0,random,,
AL,295,3,1757854558.008859,5481.092750094831,5.483078832970932,5.0,0.3,1.5750000000000002,1.475,1.375,2.024356,5.44,6.26,7.28,0.99999999999995,1,3.999999999999269,0.99999999999975,init,0,random,,
AL,295,4,1757854563.4758642,5465.910500031896,5.466993709094822,4.5,0.4,2.45,1.975,1.5,1.704805,4.93,7.76,13.46,0.9999999999999167,1,2.4037247489397355,0.9999999999995839,init,0,random,,
AL,295,5,1757854568.949447,5472.251667059027,5.473567291977815,3.25,0.4,2.075,1.6,1.375,1.367893,13.49,22.69,30.72,0.9999999999999265,1,2.7217924733592396,0.9999999999996325,init,0,random,,
AL,295,6,1757854574.446511,5495.800791075453,5.497047375072725,4.5,0.3,2.2,2.1,2.0,2.288087,3.57,3.86,4.2,1.0,1,inf,1.0,init,0,random,,
AL,295,7,1757854579.9456,5497.1745000220835,5.4990723330993205,3.25,0.3,2.45,2.35,2.125,1.915781,5.32,5.8,7.21,0.8820395159852277,1,1.117856956912096,0.4101975799261382,init,0,random,,
AL,295,8,1757854585.647886,5700.852832989767,5.702256500022486,4.0,0.4,1.8250000000000002,1.475,1.375,1.48053,11.51,17.63,20.28,0.9628515878806195,1,1.482760755944902,0.8142579394030975,init,0,random,,
AL,295,9,1757854591.123551,5474.211207940243,5.475651083048433,3.5,0.3,1.7000000000000002,1.35,0.875,1.464605,9.74,15.46,36.78,0.9236456178098318,1,1.003298981248876,0.618228089049159,init,0,random,,
AL,295,10,1757854596.618347,5491.9162089936435,5.494757416076027,3.25,0.2,1.7000000000000002,1.225,1.0,1.779101,4.91,9.67,14.52,0.8740780637098549,1,0.6010924379648892,0.37039031854927434,init,0,random,,
AL,295,11,1757854602.166007,5545.706124976277,5.547618667013012,4.75,0.3,2.45,2.35,2.125,2.088741,2.85,3.0,3.47,1.0,1,inf,1.0,init,0,random,,
AL,295,12,1757854607.640932,5473.390250001103,5.474902124959044,4.25,0.2,1.45,0.975,0.5,1.892072,4.01,8.93,33.96,0.850406012751523,1,0.38976454884903,0.2520300637576151,init,0,random,,
AL,295,13,1757854613.1167219,5474.239125032909,5.475769084063359,3.5,0.3,2.575,2.1,1.625,1.808343,4.19,6.31,10.66,0.8421765865214715,1,0.32613050150523426,0.21088293260735774,init,0,random,,
AL,295,14,1757854618.5806952,5461.758792051114,5.463948417105712,5.25,0.4,1.7000000000000002,1.6,1.25,1.677704,7.69,8.69,14.24,0.8532297255262872,1,0.4115989109748442,0.2661486276314355,init,0,random,,
AL,295,15,1757854624.061971,5479.410291998647,5.481256791972555,5.5,0.2,2.325,1.85,1.375,1.931662,1.72,2.16,2.94,1.0,1,inf,1.0,init,0,random,,
AL,295,16,1757854629.551487,5487.654292024672,5.489504334051162,5.0,0.3,2.2,1.725,1.25,2.082484,3.06,4.54,8.83,0.4,2,0.0,0.0,init,0,random,,
AL,295,17,1757854635.030093,5476.67966701556,5.478587458026595,5.25,0.2,2.2,2.1,2.0,-29.846535,1.9,2.0,2.1,1.0,1,inf,1.0,init,0,random,,
AL,295,18,1757854640.5269241,5493.196040973999,5.496795791899785,3.75,0.2,1.9500000000000002,1.725,1.375,2.372635,3.07,3.69,5.65,0.26666666666666666,3,0.0,0.0,init,0,random,,
AL,295,19,1757854646.0059679,5476.827000034973,5.479014415992424,5.0,0.4,1.5750000000000002,1.475,1.375,1.638556,9.89,11.28,12.98,0.4,2,0.0,0.0,init,0,random,,
AL,295,20,1757854651.607519,5598.963500000536,5.601537166978233,3.0,0.2,1.8250000000000002,1.35,1.0,1.729872,5.0,9.35,17.04,0.26666666666666666,3,0.0,0.0,init,0,random,,
AL,295,21,1757854657.118489,5507.12091603782,5.510925541981123,4.25,0.3,2.825,2.725,2.25,2.300572,2.75,2.87,3.78,0.4,2,0.0,0.0,init,0,random,,
AL,295,22,1757854662.637148,5516.213292023167,5.518617042107508,3.25,0.4,1.4500000000000002,1.1,0.875,1.214288,27.62,47.96,75.77,0.4,2,0.0,0.0,init,0,random,,
AL,295,23,1757854668.157902,5517.942375037819,5.520731416996568,5.25,0.4,1.45,0.975,0.875,1.493521,10.58,23.42,29.07,0.4,2,0.0,0.0,init,0,random,,
AL,295,24,1757854673.694526,5532.1297500049695,5.5365666669094935,5.25,0.3,2.575,2.225,2.125,1.148034,2.44,2.84,3.0,0.4,2,0.0,0.0,init,0,random,,
AL,295,25,1757854679.254554,5556.712792022154,5.55996916606091,5.0,0.4,1.8250000000000002,1.725,1.25,1.65875,7.35,8.24,15.71,0.26666666666666666,3,0.0,0.0,init,0,random,,
AL,295,26,1757854684.78194,5523.519749986008,5.527348625008017,5.5,0.3,1.2,0.725,0.625,1.641897,7.92,21.71,29.2,0.26666666666666666,3,0.0,0.0,init,0,random,,
AL,295,27,1757854690.267085,5481.107041006908,5.485109583940357,4.75,0.2,0.95,0.6,0.5,1.932334,7.52,18.88,27.19,0.16000000000000003,5,0.0,0.0,init,0,random,,
AL,295,28,1757854695.7487,5478.048667078838,5.481599833001383,4.0,0.2,1.4500000000000002,1.35,1.125,2.168312,4.47,5.14,7.56,0.2,4,0.0,0.0,init,0,random,,
AL,295,29,1757854701.232691,5479.138583061285,5.483965666033328,5.5,0.3,1.4500000000000002,1.1,0.875,1.823279,5.3,9.42,14.9,0.2,4,0.0,0.0,init,0,random,,
AL,295,30,1757854706.725034,5488.806874956936,5.492318208911456,3.5,0.2,1.9500000000000002,1.475,1.25,2.091844,3.39,5.64,8.01,0.2,4,0.0,0.0,init,0,random,,
AL,295,31,1757854712.219102,5489.656166057102,5.494048833032139,4.75,0.3,2.7,2.475,2.25,1.683768,2.57,2.82,3.18,0.4,2,0.0,0.0,init,0,random,,
AL,295,32,1757854717.712374,5488.5161250131205,5.493256582994945,3.5,0.4,2.575,2.225,2.125,1.623478,7.54,10.11,11.09,0.26666666666666666,3,0.0,0.0,init,0,random,,
AL,295,33,1757854726.8521721,5495.692374999635,5.500219583977014,3.25,0.3,1.8250000000000002,1.35,1.25,1.505531,9.81,17.93,20.91,0.26666666666666666,3,0.0,0.0,cycle,1,explore,0.5636276668697858,0.04570046806050411
AL,295,34,1757854732.5318599,5663.672041962855,5.679567125043832,3.25,0.4,2.2,1.975,1.625,1.440074,12.0,14.89,22.0,0.26666666666666666,3,0.0,0.0,cycle,1,explore,0.7851604347449875,0.051134568962115955
AL,295,35,1757854739.640636,7091.293416917324,7.108479749993421,3.75,0.2,1.8250000000000002,1.725,1.5,2.41153,3.38,3.69,4.74,0.2,4,0.0,0.0,cycle,1,explore,0.35459034373764736,0.010192498464598066
