algo,seed,evaluation,timestamp,t_env_ms,wall_time_s,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,rank,cd_raw,cd_tilde,phase,cycle,select_mode,y_pred,y_pred_std
AL,97,1,1757853400.270259,5484.153249999508,5.48597241693642,4.25,0.4,0.95,0.6,0.5,1.186076,37.62,94.25,135.84,1.0,1,inf,1.0,init,0,random,,
AL,97,2,1757853405.797214,5524.4704589713365,5.526945834048092,4.0,0.3,2.2,2.1,1.75,2.033155,4.38,4.78,7.01,1.0,1,inf,1.0,init,0,random,,
AL,97,3,1757853411.31536,5516.963500063866,5.518144375062548,4.5,0.2,0.95,0.725,0.625,1.911104,8.39,14.41,19.39,0.99999999999995,1,3.9999999999987708,0.99999999999975,init,0,random,,
AL,97,4,1757853416.818912,5502.328375005163,5.503572624991648,5.25,0.2,2.825,2.475,2.25,-73.219257,1.48,1.69,1.86,1.0,1,inf,1.0,init,0,random,,
AL,97,5,1757853422.3246698,5503.880167030729,5.5057452080072835,4.75,0.4,1.4500000000000002,1.35,1.125,1.514841,12.93,14.92,21.49,0.4,2,0.0,0.0,init,0,random,,
AL,97,6,1757853427.7897432,5463.824125006795,5.465062084025703,5.0,0.2,1.8250000000000002,1.475,1.25,2.81091,2.41,3.03,3.91,0.4,2,0.0,0.0,init,0,random,,
AL,97,7,1757853433.284087,5493.0665829451755,5.494357582996599,3.0,0.2,1.2000000000000002,1.1,0.625,1.509719,11.83,14.08,43.6,0.4,2,0.0,0.0,init,0,random,,
AL,97,8,1757853438.7899342,5504.233125015162,5.505850207991898,3.5,0.3,2.325,1.85,1.75,1.80016,5.09,8.23,9.19,0.4,2,0.0,0.0,init,0,random,,
AL,97,9,1757853444.2859619,5494.261665968224,5.496016124961898,3.5,0.4,1.45,0.975,0.75,1.223355,23.82,52.63,88.94,0.4,2,0.0,0.0,init,0,random,,
AL,97,10,1757853449.792757,5505.136207910255,5.5068017080193385,4.75,0.2,1.3250000000000002,1.1,0.75,2.23099,3.86,5.5,12.08,0.4,2,0.0,0.0,init,0,random,,
AL,97,11,1757853455.333089,5537.378082983196,5.540316624916159,4.25,0.2,2.45,1.975,1.75,1.44094,2.11,2.62,3.0,0.4,2,0.0,0.0,init,0,random,,
AL,97,12,1757853460.939352,5604.695416986942,5.606256459024735,3.5,0.4,1.4500000000000002,1.225,0.875,1.257812,23.82,33.36,65.34,0.4,2,0.0,0.0,init,0,random,,
