algo,seed,evaluation,timestamp,t_env_ms,wall_time_s,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,rank,cd_raw,cd_tilde,phase,cycle,select_mode,y_pred,y_pred_std
AL,42,1,1757858686.510905,5517.30933401268,5.519444208941422,4.5,0.4,1.4500000000000002,1.35,1.25,1.501534,14.41,16.62,19.39,1.0,1,inf,1.0,init,0,random,,
AL,42,2,1757858692.12063,5606.4647500170395,5.609859458054416,5.5,0.3,1.8250000000000002,1.35,1.25,2.143741,3.5,6.17,7.28,1.0,1,inf,1.0,init,0,random,,
AL,42,3,1757858697.726495,5604.33704208117,5.606003042077646,3.5,0.2,2.95,2.725,2.25,0.175713,2.13,2.31,2.8,1.0,1,inf,1.0,init,0,random,,
AL,42,4,1757858703.2637901,5536.155084031634,5.53745170799084,3.5,0.4,1.3250000000000002,1.225,0.75,1.227963,28.52,33.36,88.94,0.4281054433347034,2,0.0,0.0,init,0,random,,
AL,42,5,1757858708.9082701,5641.406708047725,5.644619042053819,4.0,0.2,1.9500000000000002,1.725,1.625,2.359618,2.83,3.34,3.66,0.4281054433347034,2,0.0,0.0,init,0,random,,
AL,42,6,1757858714.406563,5497.145834029652,5.498421584023163,5.0,0.4,0.95,0.85,0.625,1.32983,27.19,33.96,62.75,0.4281054433347034,2,0.0,0.0,init,0,random,,
AL,42,7,1757858719.885576,5475.956417038105,5.47913500003051,5.0,0.4,1.4500000000000002,1.1,1.0,1.501297,11.67,20.28,24.54,0.4281054433347034,2,0.0,0.0,init,0,random,,
AL,42,8,1757858725.618459,5731.245332979597,5.733026000089012,3.75,0.3,1.075,0.975,0.75,1.385754,21.24,25.81,43.6,0.4281054433347034,2,0.0,0.0,init,0,random,,
AL,42,9,1757858731.094359,5474.6043749619275,5.476052499958314,4.5,0.2,2.825,2.475,2.0,-6.114301,1.73,1.98,2.45,1.0,1,inf,1.0,init,0,random,,
AL,42,10,1757858736.577421,5480.354374973103,5.483188041951507,3.75,0.3,1.2000000000000002,1.1,1.0,1.475787,17.04,20.28,24.54,0.28540362888980225,3,0.0,0.0,init,0,random,,
AL,42,11,1757858742.181115,5602.203625021502,5.603826917009428,4.0,0.4,2.575,2.225,1.75,1.67426,5.67,7.74,12.52,0.28540362888980225,3,0.0,0.0,init,0,random,,
AL,42,12,1757858747.684172,5499.808625085279,5.5031859170412645,3.75,0.3,1.9500000000000002,1.725,1.375,1.703119,6.38,8.24,12.98,0.2140527216673517,4,0.0,0.0,init,0,random,,
AL,42,13,1757858753.509249,5820.091500063427,5.8251763340085745,5.0,0.3,1.2,0.975,0.625,1.579631,9.58,14.52,35.32,0.28540362888980225,3,0.0,0.0,init,0,random,,
AL,42,14,1757858759.03298,5521.166874910705,5.5238653749693185,5.25,0.2,1.8250000000000002,1.6,1.375,2.060601,2.3,2.62,3.12,0.28540362888980225,3,0.0,0.0,init,0,random,,
AL,42,15,1757858764.523669,5487.843499984592,5.490821999963373,5.0,0.2,2.075,1.975,1.625,-0.434871,2.12,2.23,2.71,0.4281054433347034,2,0.0,0.0,init,0,random,,
AL,42,16,1757858770.0453062,5519.813874969259,5.5217809999594465,3.0,0.3,1.8250000000000002,1.35,1.0,1.395313,11.51,21.04,38.33,0.2140527216673517,4,0.0,0.0,init,0,random,,
AL,42,17,1757858775.560256,5511.689707986079,5.515082499943674,4.5,0.2,1.2,0.85,0.625,1.982012,5.14,10.48,19.39,0.2140527216673517,4,0.0,0.0,init,0,random,,
AL,42,18,1757858781.118102,5554.12970809266,5.557952958042733,4.5,0.3,2.95,2.6,2.125,2.363103,2.49,2.83,3.78,0.17124217733388136,5,0.0,0.0,init,0,random,,
AL,42,19,1757858787.328529,6198.718374944292,6.210553332930431,3.0,0.4,1.7000000000000002,1.35,1.0,1.231066,23.59,37.39,68.09,0.2140527216673517,4,0.0,0.0,init,0,random,,
AL,42,20,1757858792.850852,5520.1833749888465,5.522458957973868,3.25,0.3,1.9500000000000002,1.6,1.375,1.562165,8.59,12.76,17.28,0.2140527216673517,4,0.0,0.0,init,0,random,,
