algo,seed,evaluation,timestamp,t_env_ms,wall_time_s,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,rank,cd_raw,cd_tilde,phase,cycle,select_mode,y_pred,y_pred_std
AL,295,1,1757866202.93683,5557.94791597873,5.560635292087682,4.25,0.4,1.2,0.975,0.875,1.322474,23.59,35.72,44.33,1.0,1,inf,1.0,init,0,random,,
AL,295,2,1757866208.468662,5530.531708966009,5.531778665957972,5.25,0.2,1.7000000000000002,1.475,1.125,2.915667,2.47,2.86,4.32,1.0,1,inf,1.0,init,0,random,,
AL,295,3,1757866216.2082849,7736.2456660484895,7.739506374928169,5.0,0.3,1.5750000000000002,1.475,1.375,2.024356,5.44,6.26,7.28,0.9999999999999485,1,3.999999999999269,0.99999999999975,init,0,random,,
AL,295,4,1757866221.771893,5561.868584016338,5.563501875032671,4.5,0.4,2.45,1.975,1.5,1.704805,4.93,7.76,13.46,0.9999999999999142,1,2.4037247489397355,0.9999999999995839,init,0,random,,
AL,295,5,1757866227.296112,5521.2707499740645,5.524108833982609,3.25,0.4,2.075,1.6,1.375,1.367893,13.49,22.69,30.72,0.9999999999999242,1,2.7217924733592396,0.9999999999996325,init,0,random,,
AL,295,6,1757866232.840124,5542.463541962206,5.543909208965488,4.5,0.3,2.2,2.1,2.0,2.288087,3.57,3.86,4.2,1.0,1,inf,1.0,init,0,random,,
AL,295,7,1757866238.371051,5528.79620809108,5.53086129098665,3.25,0.3,2.45,2.35,2.125,1.915781,5.32,5.8,7.21,0.8783145427342598,1,1.117856956912096,0.4101975799261382,init,0,random,,
AL,295,8,1757866243.995859,5621.894875075668,5.624695874983445,4.0,0.4,1.8250000000000002,1.475,1.375,1.48053,11.51,17.63,20.28,0.9616785099417117,1,1.482760755944902,0.8142579394030975,init,0,random,,
AL,295,9,1757866249.522787,5524.706917000003,5.526834041927941,3.5,0.3,1.7000000000000002,1.35,0.875,1.464605,9.74,15.46,36.78,0.9212344880689863,1,1.003298981248876,0.618228089049159,init,0,random,,
AL,295,10,1757866255.00545,5479.785709059797,5.482570957974531,3.25,0.2,1.7000000000000002,1.225,1.0,1.779101,4.91,9.67,14.52,0.8701016825657073,1,0.6010924379648892,0.37039031854927434,init,0,random,,
AL,295,11,1757866261.0363579,6027.907749987207,6.030796582926996,4.75,0.3,2.45,2.35,2.125,2.088741,2.85,3.0,3.47,1.0,1,inf,1.0,init,0,random,,
AL,295,12,1757866266.56549,5527.297541033477,5.529037166037597,4.25,0.2,1.45,0.975,0.5,1.892072,4.01,8.93,33.96,0.8456821121532819,1,0.38976454884903,0.2520300637576151,init,0,random,,
AL,295,13,1757866272.068727,5500.095999916084,5.503129415912554,3.5,0.3,2.575,2.1,1.625,1.808343,4.19,6.31,10.66,0.8371928159096934,1,0.32613050150523426,0.21088293260735774,init,0,random,,
AL,295,14,1757866277.637776,5567.126458045095,5.5689580829348415,5.25,0.4,1.7000000000000002,1.6,1.25,1.677704,7.69,8.69,14.24,0.8485949925390665,1,0.4115989109748442,0.2661486276314355,init,0,random,,
AL,295,15,1757866283.150044,5510.000832960941,5.512196333962493,5.5,0.2,2.325,1.85,1.375,1.931662,1.72,2.16,2.94,1.0,1,inf,1.0,init,0,random,,
