algo,seed,evaluation,timestamp,t_env_ms,wall_time_s,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,rank,cd_raw,cd_tilde,phase,cycle,select_mode,y_pred,y_pred_std
AL,584,1,1757872776.90402,5506.3149579800665,5.5096494579920545,4.0,0.3,1.5750000000000002,1.35,1.0,1.589889,8.69,11.83,21.57,1.0,1,inf,1.0,init,0,random,,
AL,584,2,1757872782.469232,5563.9056250220165,5.565145957982168,4.75,0.3,2.075,1.975,1.875,2.308686,3.6,3.91,4.28,1.0,1,inf,1.0,init,0,random,,
AL,584,3,1757872790.084167,7611.03904095944,7.614821083028801,5.0,0.4,2.825,2.475,2.125,2.227313,3.22,3.98,5.31,1.0,1,inf,1.0,init,0,random,,
AL,584,4,1757872795.762963,5677.6466249721125,5.678706416976638,5.5,0.3,2.45,2.35,2.125,0.25331,2.45,2.56,2.84,1.0,1,inf,1.0,init,0,random,,
AL,584,5,1757872801.37097,5605.231374967843,5.607930709025823,3.75,0.2,1.3250000000000002,1.1,0.625,1.741895,6.12,9.01,27.92,0.3784837809539998,2,0.0,0.0,init,0,random,,
AL,584,6,1757872806.9246771,5552.288000006229,5.553631708025932,5.0,0.3,2.575,2.35,2.0,2.218825,2.56,2.82,3.52,0.3784837809539998,2,0.0,0.0,init,0,random,,
AL,584,7,1757872812.409513,5483.16975007765,5.484781665960327,3.25,0.3,2.075,1.6,1.5,1.598572,7.58,12.76,14.52,0.3784837809539998,2,0.0,0.0,init,0,random,,
AL,584,8,1757872818.158551,5746.1563750403,5.748953750007786,5.25,0.2,2.575,2.225,2.125,-47.947425,1.63,1.88,1.97,1.0,1,inf,1.0,init,0,random,,
AL,584,9,1757872823.671644,5511.5533750504255,5.513021582970396,4.5,0.2,2.95,2.475,2.0,-6.040752,1.66,1.98,2.45,0.3784837809539998,2,0.0,0.0,init,0,random,,
AL,584,10,1757872829.164777,5490.415334003046,5.493053916958161,5.5,0.4,1.2000000000000002,1.1,1.0,1.549851,14.08,16.76,20.28,0.1892418904769999,4,0.0,0.0,init,0,random,,
AL,584,11,1757872834.7020469,5535.587833961472,5.537188375019468,4.75,0.4,1.3250000000000002,1.1,0.75,1.392327,15.49,22.47,48.3,0.1892418904769999,4,0.0,0.0,init,0,random,,
AL,584,12,1757872840.1955929,5491.290999925695,5.493461999925785,3.0,0.2,1.075,0.85,0.625,1.466921,14.75,23.59,43.6,0.1892418904769999,4,0.0,0.0,init,0,random,,
AL,584,13,1757872845.6976798,5498.998541035689,5.5019950839923695,3.0,0.3,0.95,0.85,0.75,1.232679,42.46,53.02,68.09,0.1892418904769999,4,0.0,0.0,init,0,random,,
AL,584,14,1757872851.290252,5590.540625038557,5.592474292032421,4.0,0.3,2.575,2.225,2.125,2.263146,3.36,4.29,4.67,0.15139351238159993,5,0.0,0.0,init,0,random,,
AL,584,15,1757872856.774406,5482.14504099451,5.484080209047534,4.75,0.3,1.2,0.725,0.5,1.472232,10.62,29.1,61.11,0.1892418904769999,4,0.0,0.0,init,0,random,,
AL,584,16,1757872862.328377,5550.45641597826,5.553895958000794,3.25,0.3,1.45,0.975,0.625,1.315536,15.54,34.36,83.55,0.1892418904769999,4,0.0,0.0,init,0,random,,
AL,584,17,1757872867.8185852,5488.115833024494,5.490125417010859,4.25,0.3,1.2,0.975,0.625,1.455689,13.27,20.1,48.87,0.1892418904769999,4,0.0,0.0,init,0,random,,
AL,584,18,1757872873.341509,5520.3507910482585,5.522866875049658,4.75,0.4,0.95,0.85,0.625,1.299443,30.12,37.62,69.53,0.1892418904769999,4,0.0,0.0,init,0,random,,
AL,584,19,1757872879.066968,5721.757458057255,5.725374042056501,4.5,0.3,1.7000000000000002,1.225,1.0,1.697896,5.78,11.35,17.04,0.1892418904769999,4,0.0,0.0,init,0,random,,
