algo,seed,evaluation,timestamp,t_env_ms,wall_time_s,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,rank,cd_raw,cd_tilde,phase,cycle,select_mode,y_pred,y_pred_std
AL,619,1,1757877165.9322062,5602.358959033154,5.606301042018458,5.0,0.2,1.7000000000000002,1.475,1.0,2.747619,2.59,3.03,6.03,1.0,1,inf,1.0,init,0,random,,
AL,619,2,1757877171.571433,5636.434582993388,5.63917020894587,3.25,0.2,0.825,0.6,0.5,1.4235,21.34,40.31,58.02,1.0,1,inf,1.0,init,0,random,,
AL,619,3,1757877177.1087208,5535.140207968652,5.537260042037815,5.25,0.3,1.8250000000000002,1.475,1.375,2.16155,3.77,5.64,6.56,0.999999999999954,1,3.9999999999991447,0.99999999999975,init,0,random,,
AL,619,4,1757877182.6032891,5491.813292028382,5.494533749995753,3.25,0.3,1.5750000000000002,1.35,1.125,1.457064,13.17,17.93,25.81,0.9999999999999462,1,3.4142511482683107,0.9999999999997071,init,0,random,,
AL,619,5,1757877188.1759942,5568.652875022963,5.572650416987017,3.75,0.4,2.825,2.6,2.125,1.752862,5.34,6.38,9.66,0.9244001910204592,1,1.7333055319657165,0.589080389240441,init,0,random,,
AL,619,6,1757877193.7509649,5571.8916659243405,5.574896459002048,3.0,0.3,1.5750000000000002,1.225,0.875,1.342917,15.46,25.55,50.04,1.0,1,inf,1.0,init,0,random,,
AL,619,7,1757877199.258394,5504.669583984651,5.507390208076686,3.25,0.4,1.8250000000000002,1.35,1.25,1.314575,17.44,31.86,37.16,1.0,1,inf,1.0,init,0,random,,
AL,619,8,1757877204.797085,5536.813165992498,5.538670499925502,5.25,0.3,2.95,2.6,2.125,1.382242,2.13,2.42,3.0,1.0,1,inf,1.0,init,0,random,,
AL,619,9,1757877210.29485,5496.215707971714,5.497754625044763,3.0,0.2,1.2000000000000002,1.1,0.75,1.546855,11.83,14.08,30.29,0.4080114370304701,2,0.0,0.0,init,0,random,,
AL,619,10,1757877215.811619,5512.990084011108,5.516742459032685,5.25,0.4,1.2000000000000002,1.1,1.0,1.513265,15.46,18.4,22.26,0.4080114370304701,2,0.0,0.0,init,0,random,,
AL,619,11,1757877221.33938,5524.499541963451,5.52769579202868,3.25,0.3,2.325,1.975,1.625,1.682175,5.94,8.37,12.37,0.4080114370304701,2,0.0,0.0,init,0,random,,
AL,619,12,1757877226.951885,5610.392583999783,5.612467582919635,5.5,0.2,2.075,1.975,1.875,-25.676175,1.93,2.03,2.13,1.0,1,inf,1.0,init,0,random,,
AL,619,13,1757877232.795638,5840.526000014506,5.843709749984555,4.75,0.4,2.075,1.725,1.25,1.638241,6.23,9.13,17.4,0.27200762468698003,3,0.0,0.0,init,0,random,,
AL,619,14,1757877238.448003,5649.863875005394,5.65232004201971,3.5,0.4,1.325,0.975,0.5,1.147489,28.52,52.63,196.91,0.4080114370304701,2,0.0,0.0,init,0,random,,
AL,619,15,1757877243.958018,5507.322209072299,5.509993374929763,4.25,0.2,0.825,0.6,0.5,1.714064,12.47,23.59,33.96,0.20400571851523505,4,0.0,0.0,init,0,random,,
AL,619,16,1757877249.538315,5576.3061250327155,5.580245375051163,3.25,0.2,1.075,0.85,0.625,1.527015,12.56,20.1,37.16,0.27200762468698003,3,0.0,0.0,init,0,random,,
AL,619,17,1757877255.1614568,5619.658000068739,5.623073874972761,3.0,0.3,1.8250000000000002,1.475,1.25,1.455679,11.51,17.63,24.54,0.27200762468698003,3,0.0,0.0,init,0,random,,
AL,619,18,1757877260.743839,5578.270375030115,5.582330833072774,5.0,0.2,2.075,1.725,1.25,2.990863,2.12,2.55,3.91,0.4080114370304701,2,0.0,0.0,init,0,random,,
AL,619,19,1757877266.4159648,5666.133834049106,5.672043500002474,4.75,0.4,2.575,2.1,1.875,1.940933,4.06,6.07,7.73,0.27200762468698003,3,0.0,0.0,init,0,random,,
AL,619,20,1757877271.955797,5536.6293750703335,5.539749125018716,5.0,0.2,1.9500000000000002,1.725,1.625,-0.709399,2.26,2.55,2.71,0.4080114370304701,2,0.0,0.0,init,0,random,,
AL,619,21,1757877277.542599,5581.667416030541,5.586762291030027,4.75,0.2,2.575,2.225,1.875,-5.332011,1.8,2.08,2.47,1.0,1,inf,1.0,init,0,random,,
