algo,seed,evaluation,timestamp,t_env_ms,wall_time_s,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,rank,cd_raw,cd_tilde,phase,cycle,select_mode,y_pred,y_pred_std
AL,619,1,1757881312.231498,7345.823958981782,7.35407249990385,5.0,0.2,1.7000000000000002,1.475,1.0,2.747619,2.59,3.03,6.03,1.0,1,inf,1.0,init,0,random,,
AL,619,2,1757881317.807436,5572.235082974657,5.575806417036802,3.25,0.2,0.825,0.6,0.5,1.4235,21.34,40.31,58.02,1.0,1,inf,1.0,init,0,random,,
AL,619,3,1757881323.4304929,5616.758540971205,5.622880416922271,5.25,0.3,1.8250000000000002,1.475,1.375,2.16155,3.77,5.64,6.56,0.9999999999999445,1,3.9999999999991447,0.99999999999975,init,0,random,,
AL,619,4,1757881329.03089,5596.8487919308245,5.600147832999937,3.25,0.3,1.5750000000000002,1.35,1.125,1.457064,13.17,17.93,25.81,0.9999999999999349,1,3.4142511482683107,0.9999999999997071,init,0,random,,
AL,619,5,1757881334.562369,5529.9373749876395,5.531376082915813,3.75,0.4,2.825,2.6,2.125,1.752862,5.34,6.38,9.66,0.9086641454468682,1,1.7333055319657165,0.589080389240441,init,0,random,,
AL,619,6,1757881340.2575831,5692.446417058818,5.695104790967889,3.0,0.3,1.5750000000000002,1.225,0.875,1.342917,15.46,25.55,50.04,1.0,1,inf,1.0,init,0,random,,
AL,619,7,1757881345.802696,5541.57308395952,5.544986917055212,3.25,0.4,1.8250000000000002,1.35,1.25,1.314575,17.44,31.86,37.16,1.0,1,inf,1.0,init,0,random,,
AL,619,8,1757881351.362493,5555.75920897536,5.559650707989931,5.25,0.3,2.95,2.6,2.125,1.382242,2.13,2.42,3.0,1.0,1,inf,1.0,init,0,random,,
AL,619,9,1757881357.000065,5634.284208994359,5.637420375016518,3.0,0.2,1.2000000000000002,1.1,0.75,1.546855,11.83,14.08,30.29,0.38886408416441454,2,0.0,0.0,init,0,random,,
AL,619,10,1757881362.5934699,5589.91670794785,5.592995583079755,5.25,0.4,1.2000000000000002,1.1,1.0,1.513265,15.46,18.4,22.26,0.38886408416441454,2,0.0,0.0,init,0,random,,
AL,619,11,1757881368.154782,5557.067207992077,5.561168290907517,3.25,0.3,2.325,1.975,1.625,1.682175,5.94,8.37,12.37,0.38886408416441454,2,0.0,0.0,init,0,random,,
AL,619,12,1757881373.731683,5573.25725001283,5.576761208008975,5.5,0.2,2.075,1.975,1.875,-25.676175,1.93,2.03,2.13,1.0,1,inf,1.0,init,0,random,,
AL,619,13,1757881379.500067,5764.50249995105,5.768252792069688,4.75,0.4,2.075,1.725,1.25,1.638241,6.23,9.13,17.4,0.25924272277627636,3,0.0,0.0,init,0,random,,
AL,619,14,1757881385.383677,5880.097209010273,5.883475415990688,3.5,0.4,1.325,0.975,0.5,1.147489,28.52,52.63,196.91,0.38886408416441454,2,0.0,0.0,init,0,random,,
AL,619,15,1757881390.976746,5588.840250042267,5.59269012499135,4.25,0.2,0.825,0.6,0.5,1.714064,12.47,23.59,33.96,0.19443204208220727,4,0.0,0.0,init,0,random,,
AL,619,16,1757881396.520968,5540.110832895152,5.544094291049987,3.25,0.2,1.075,0.85,0.625,1.527015,12.56,20.1,37.16,0.25924272277627636,3,0.0,0.0,init,0,random,,
AL,619,17,1757881402.214239,5687.959374976344,5.693106458988041,3.0,0.3,1.8250000000000002,1.475,1.25,1.455679,11.51,17.63,24.54,0.25924272277627636,3,0.0,0.0,init,0,random,,
AL,619,18,1757881407.73356,5516.362416907214,5.5191943750251085,5.0,0.2,2.075,1.725,1.25,2.990863,2.12,2.55,3.91,0.38886408416441454,2,0.0,0.0,init,0,random,,
AL,619,19,1757881413.267926,5530.0078750588,5.533898834022693,4.75,0.4,2.575,2.1,1.875,1.940933,4.06,6.07,7.73,0.25924272277627636,3,0.0,0.0,init,0,random,,
AL,619,20,1757881418.8381178,5566.423750016838,5.570031209033914,5.0,0.2,1.9500000000000002,1.725,1.625,-0.709399,2.26,2.55,2.71,0.38886408416441454,2,0.0,0.0,init,0,random,,
AL,619,21,1757881424.3414888,5500.016125035472,5.503299999982119,4.75,0.2,2.575,2.225,1.875,-5.332011,1.8,2.08,2.47,1.0,1,inf,1.0,init,0,random,,
AL,619,22,1757881429.9561658,5610.646832967177,5.614564666990191,4.75,0.3,2.575,2.225,1.875,2.4155,2.7,3.23,4.28,0.25924272277627636,3,0.0,0.0,init,0,random,,
AL,619,23,1757881435.518573,5559.199166949838,5.5623107079882175,3.5,0.2,2.575,2.35,2.125,1.182612,2.44,2.68,3.0,0.25924272277627636,3,0.0,0.0,init,0,random,,
AL,619,24,1757881441.0445561,5522.12141698692,5.525703457999043,5.0,0.4,2.7,2.225,1.75,1.99735,3.45,4.84,8.01,0.19443204208220727,4,0.0,0.0,init,0,random,,
AL,619,25,1757881446.738351,5688.927499926649,5.6936749999877065,3.5,0.4,2.2,1.975,1.5,1.46937,10.34,12.84,22.26,0.19443204208220727,4,0.0,0.0,init,0,random,,
AL,619,26,1757881454.162175,5504.020708962344,5.509841250022873,3.25,0.3,1.9500000000000002,1.725,1.5,1.597205,8.59,10.98,14.52,0.19443204208220727,4,0.0,0.0,cycle,1,explore,0.29492358160660936,0.0
AL,619,27,1757881459.783378,5616.122958948836,5.620951791992411,3.75,0.3,1.5750000000000002,1.225,1.0,1.525111,9.89,16.35,24.54,0.19443204208220727,4,0.0,0.0,cycle,1,explore,0.42399915204500294,0.0
AL,619,28,1757881465.428096,5639.581957948394,5.644563207984902,5.5,0.2,2.825,2.725,2.25,-104.022337,1.41,1.47,1.78,1.0,1,inf,1.0,cycle,1,exploit,1.3179704123648175,0.0
AL,619,29,1757881470.996941,5560.716458945535,5.56867891701404,5.5,0.2,2.95,2.725,2.25,-104.055774,1.35,1.47,1.78,1.0,1,inf,1.0,cycle,1,exploit,1.3150565822241753,0.0
AL,619,30,1757881476.924308,5921.976916026324,5.927197500015609,5.5,0.2,3.075,2.725,2.25,-104.187563,1.3,1.47,1.78,1.0,1,inf,1.0,cycle,1,exploit,1.3103078724281125,0.0
AL,619,31,1757881482.638983,5708.758875029162,5.714485500007868,5.5,0.4,2.575,2.225,2.0,2.277036,3.21,4.06,4.95,0.11110402404697557,7,0.0,0.0,cycle,1,explore,0.604299531384192,0.0
AL,619,32,1757881489.3490849,5532.894374919124,5.539025667007081,4.5,0.4,1.075,0.6,0.5,1.232456,26.22,84.06,121.12,0.11110402404697557,7,0.0,0.0,cycle,2,explore,0.2864371637452,0.0
AL,619,33,1757881494.971733,5616.297915927134,5.622494207927957,4.75,0.2,1.9500000000000002,1.725,1.5,2.082746,2.38,2.69,3.18,0.12962136138813818,6,0.0,0.0,cycle,2,explore,0.32361740119516746,0.0
AL,619,34,1757881500.495969,5518.612958025187,5.524021249962971,5.25,0.2,1.7000000000000002,1.35,1.25,2.68069,2.47,3.21,3.61,0.11110402404697557,7,0.0,0.0,cycle,2,explore,1.1266355757898334,0.0
AL,619,35,1757881506.889261,6387.032415950671,6.39310004201252,5.5,0.2,1.5750000000000002,1.225,1.125,2.808174,2.54,3.46,3.98,0.09721602104110363,8,0.0,0.0,cycle,2,exploit,1.4179626688950655,0.0
AL,619,36,1757881512.465249,5569.14220796898,5.575796458055265,5.5,0.2,1.4500000000000002,1.35,1.125,2.801535,2.76,3.01,3.98,0.11110402404697557,7,0.0,0.0,cycle,2,exploit,1.4342640321052864,0.0
AL,619,37,1757881518.003815,5531.8867090390995,5.538401584024541,5.5,0.2,1.4500000000000002,1.35,1.25,2.379341,2.76,3.01,3.35,0.11110402404697557,7,0.0,0.0,cycle,2,exploit,1.4426177867159247,0.0
AL,619,38,1757881524.783135,5561.171583016403,5.5683950409293175,3.0,0.4,3.2,2.725,2.25,1.584082,6.6,9.18,13.46,0.11110402404697557,7,0.0,0.0,cycle,3,exploit,1.270154198227222,0.0
AL,619,39,1757881530.2977338,5507.82383303158,5.5144543329952285,3.25,0.4,2.825,2.6,2.25,1.62155,7.26,8.59,11.47,0.11110402404697557,7,0.0,0.0,cycle,3,explore,1.1077290720083155,0.0
AL,619,40,1757881536.03558,5730.214084032923,5.737657624995336,3.25,0.4,3.2,2.725,2.25,1.657556,5.55,7.82,11.47,0.11110402404697557,7,0.0,0.0,cycle,3,exploit,1.2582456624825111,0.0
AL,619,41,1757881541.596952,5554.934207932092,5.561228083097376,3.5,0.4,2.575,2.35,2.125,1.632207,7.54,9.06,11.09,0.11110402404697557,7,0.0,0.0,cycle,3,explore,0.8785480611670903,0.0
AL,619,42,1757881547.136106,5522.762416047044,5.538966791937128,3.5,0.4,3.2,2.725,2.25,1.742522,4.78,6.69,9.89,0.11110402404697557,7,0.0,0.0,cycle,3,exploit,1.2438270849469943,0.0
AL,619,43,1757881552.986996,5842.814916977659,5.85071379202418,3.75,0.3,1.9500000000000002,1.6,1.25,1.659649,6.38,9.58,15.71,0.09721602104110363,8,0.0,0.0,cycle,3,explore,0.126095548975043,0.0
AL,619,44,1757881559.700825,5534.392791916616,5.544749874970876,3.0,0.3,1.3250000000000002,1.225,1.125,1.367422,21.84,25.55,30.29,0.11110402404697557,7,0.0,0.0,cycle,4,exploit,1.2763288702770417,0.0
AL,619,45,1757881565.310743,5600.108250044286,5.60974070802331,3.0,0.3,2.075,1.6,1.25,1.484724,8.9,14.98,24.54,0.11110402404697557,7,0.0,0.0,cycle,4,explore,0.10921431549621446,0.0
AL,619,46,1757881570.875713,5557.014541933313,5.564843958010897,3.0,0.4,1.3250000000000002,1.225,1.125,1.210036,38.81,45.39,53.81,0.11110402404697557,7,0.0,0.0,cycle,4,exploit,1.2470085739702077,0.0
AL,619,47,1757881576.358679,5474.138709018007,5.482823875034228,3.0,0.4,1.4500000000000002,1.35,1.25,1.241938,32.41,37.39,43.6,0.11110402404697557,7,0.0,0.0,cycle,4,exploit,1.2605106083018318,0.0
