algo,seed,evaluation,timestamp,t_env_ms,wall_time_s,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,rank,cd_raw,cd_tilde,phase,cycle,select_mode,y_pred,y_pred_std
AL,295,1,1757884293.2925382,5551.250334014185,5.554874625056982,4.25,0.4,1.2,0.975,0.875,1.322474,23.59,35.72,44.33,1.0,1,inf,1.0,init,0,random,,
AL,295,2,1757884298.972123,5676.884916028939,5.679468666901812,5.25,0.2,1.7000000000000002,1.475,1.125,2.915667,2.47,2.86,4.32,1.0,1,inf,1.0,init,0,random,,
AL,295,3,1757884304.5133598,5539.109666948207,5.54114537499845,5.0,0.3,1.5750000000000002,1.475,1.375,2.024356,5.44,6.26,7.28,0.9999999999999497,1,3.999999999999269,0.99999999999975,init,0,random,,
AL,295,4,1757884310.086538,5570.413457928225,5.5730778749566525,4.5,0.4,2.45,1.975,1.5,1.704805,4.93,7.76,13.46,0.9999999999999163,1,2.4037247489397355,0.9999999999995839,init,0,random,,
AL,295,5,1757884315.599071,5510.730000096373,5.512421166989952,3.25,0.4,2.075,1.6,1.375,1.367893,13.49,22.69,30.72,0.9999999999999261,1,2.7217924733592396,0.9999999999996325,init,0,random,,
AL,295,6,1757884321.115416,5513.084332924336,5.5162234579911456,4.5,0.3,2.2,2.1,2.0,2.288087,3.57,3.86,4.2,1.0,1,inf,1.0,init,0,random,,
AL,295,7,1757884326.684879,5566.281665931456,5.569309790967964,3.25,0.3,2.45,2.35,2.125,1.915781,5.32,5.8,7.21,0.881331487442675,1,1.117856956912096,0.4101975799261382,init,0,random,,
AL,295,8,1757884332.209269,5522.090874961577,5.524285583989695,4.0,0.4,1.8250000000000002,1.475,1.375,1.48053,11.51,17.63,20.28,0.9626286137523705,1,1.482760755944902,0.8142579394030975,init,0,random,,
AL,295,9,1757884337.719786,5507.114583044313,5.510389541974291,3.5,0.3,1.7000000000000002,1.35,0.875,1.464605,9.74,15.46,36.78,0.9231873195721538,1,1.003298981248876,0.618228089049159,init,0,random,,
AL,295,10,1757884343.330575,5608.031708048657,5.6106800000416115,3.25,0.2,1.7000000000000002,1.225,1.0,1.779101,4.91,9.67,14.52,0.8733222485250363,1,0.6010924379648892,0.37039031854927434,init,0,random,,
AL,295,11,1757884348.828344,5493.275540997274,5.497680667089298,4.75,0.3,2.45,2.35,2.125,2.088741,2.85,3.0,3.47,1.0,1,inf,1.0,init,0,random,,
AL,295,12,1757884354.596328,5764.71825002227,5.7678727499442175,4.25,0.2,1.45,0.975,0.5,1.892072,4.01,8.93,33.96,0.8495081119532106,1,0.38976454884903,0.2520300637576151,init,0,random,,
AL,295,13,1757884360.1370912,5538.930499926209,5.540664625004865,3.5,0.3,2.575,2.1,1.625,1.808343,4.19,6.31,10.66,0.8412292906337072,1,0.32613050150523426,0.21088293260735774,init,0,random,,
AL,295,14,1757884365.6649768,5524.459625012241,5.527762040961534,5.25,0.4,1.7000000000000002,1.6,1.25,1.677704,7.69,8.69,14.24,0.85234877336342,1,0.4115989109748442,0.2661486276314355,init,0,random,,
AL,295,15,1757884371.1666691,5499.40066691488,5.501595832989551,5.5,0.2,2.325,1.85,1.375,1.931662,1.72,2.16,2.94,1.0,1,inf,1.0,init,0,random,,
AL,295,16,1757884376.666346,5497.329666977748,5.499600000097416,5.0,0.3,2.2,1.725,1.25,2.082484,3.06,4.54,8.83,0.3993997748072448,2,0.0,0.0,init,0,random,,
AL,295,17,1757884382.1582441,5488.506666966714,5.491791332955472,5.25,0.2,2.2,2.1,2.0,-29.846535,1.9,2.0,2.1,1.0,1,inf,1.0,init,0,random,,
AL,295,18,1757884387.685962,5525.340624968521,5.5276152500882745,3.75,0.2,1.9500000000000002,1.725,1.375,2.372635,3.07,3.69,5.65,0.2662665165381632,3,0.0,0.0,init,0,random,,
AL,295,19,1757884393.18662,5497.908500023186,5.500569541938603,5.0,0.4,1.5750000000000002,1.475,1.375,1.638556,9.89,11.28,12.98,0.3993997748072448,2,0.0,0.0,init,0,random,,
AL,295,20,1757884398.684651,5494.383500074036,5.497918749926612,3.0,0.2,1.8250000000000002,1.35,1.0,1.729872,5.0,9.35,17.04,0.2662665165381632,3,0.0,0.0,init,0,random,,
AL,295,21,1757884404.267416,5579.658832983114,5.58264287491329,4.25,0.3,2.825,2.725,2.25,2.300572,2.75,2.87,3.78,0.3993997748072448,2,0.0,0.0,init,0,random,,
AL,295,22,1757884409.819453,5548.594125080854,5.55194408306852,3.25,0.4,1.4500000000000002,1.1,0.875,1.214288,27.62,47.96,75.77,0.3993997748072448,2,0.0,0.0,init,0,random,,
AL,295,23,1757884415.575975,5751.914958003908,5.75638712500222,5.25,0.4,1.45,0.975,0.875,1.493521,10.58,23.42,29.07,0.3993997748072448,2,0.0,0.0,init,0,random,,
AL,295,24,1757884421.178207,5597.486958024092,5.602089207968675,5.25,0.3,2.575,2.225,2.125,1.148034,2.44,2.84,3.0,0.3993997748072448,2,0.0,0.0,init,0,random,,
AL,295,25,1757884426.754588,5571.877083973959,5.576248875004239,5.0,0.4,1.8250000000000002,1.725,1.25,1.65875,7.35,8.24,15.71,0.2662665165381632,3,0.0,0.0,init,0,random,,
AL,295,26,1757884432.335469,5577.074792003259,5.58075183397159,5.5,0.3,1.2,0.725,0.625,1.641897,7.92,21.71,29.2,0.2662665165381632,3,0.0,0.0,init,0,random,,
AL,295,27,1757884437.840616,5501.8040840514,5.504979750025086,4.75,0.2,0.95,0.6,0.5,1.932334,7.52,18.88,27.19,0.15975990992289793,5,0.0,0.0,init,0,random,,
AL,295,28,1757884443.386255,5538.918584003113,5.5455294999992475,4.0,0.2,1.4500000000000002,1.35,1.125,2.168312,4.47,5.14,7.56,0.1996998874036224,4,0.0,0.0,init,0,random,,
AL,295,29,1757884449.121891,5730.186957982369,5.735464042052627,5.5,0.3,1.4500000000000002,1.1,0.875,1.823279,5.3,9.42,14.9,0.1996998874036224,4,0.0,0.0,init,0,random,,
AL,295,30,1757884454.65261,5526.871750014834,5.530615082941949,3.5,0.2,1.9500000000000002,1.475,1.25,2.091844,3.39,5.64,8.01,0.1996998874036224,4,0.0,0.0,init,0,random,,
AL,295,31,1757884460.2831302,5624.4821670698,5.63040754199028,4.75,0.3,2.7,2.475,2.25,1.683768,2.57,2.82,3.18,0.3993997748072448,2,0.0,0.0,init,0,random,,
AL,295,32,1757884465.819603,5531.827291939408,5.53636116697453,3.5,0.4,2.575,2.225,2.125,1.623478,7.54,10.11,11.09,0.2662665165381632,3,0.0,0.0,init,0,random,,
AL,295,33,1757884473.039317,5553.898166981526,5.560544374980964,3.25,0.3,1.8250000000000002,1.35,1.25,1.505531,9.81,17.93,20.91,0.2662665165381632,3,0.0,0.0,cycle,1,explore,0.672201378316522,0.0
AL,295,34,1757884478.7261992,5679.365042014979,5.686710332985967,3.25,0.4,2.2,1.975,1.625,1.440074,12.0,14.89,22.0,0.2662665165381632,3,0.0,0.0,cycle,1,explore,0.7398362506415012,0.0
AL,295,35,1757884484.451235,5718.320082989521,5.724835000000894,3.75,0.2,1.8250000000000002,1.725,1.5,2.41153,3.38,3.69,4.74,0.1996998874036224,4,0.0,0.0,cycle,1,explore,0.28611322577289067,0.0
AL,295,36,1757884490.1074162,5649.312417022884,5.655992417014204,5.25,0.4,2.825,2.475,2.25,2.306906,3.01,3.67,4.32,0.1996998874036224,4,0.0,0.0,cycle,1,explore,0.8977578313440313,0.0
AL,295,37,1757884495.634706,5522.00741705019,5.527178792050108,5.5,0.2,1.5750000000000002,1.475,1.375,1.227391,2.54,2.71,2.94,0.3993997748072448,2,0.0,0.0,cycle,1,exploit,1.2924891478367526,0.0
AL,295,38,1757884501.153837,5511.870624963194,5.519007291994058,5.5,0.2,1.7000000000000002,1.6,1.375,1.34308,2.35,2.5,2.94,0.3993997748072448,2,0.0,0.0,cycle,1,exploit,1.2544102403377029,0.0
AL,295,39,1757884506.69586,5536.591665935703,5.5419295829487965,5.5,0.2,1.7000000000000002,1.6,1.5,-1.299097,2.35,2.5,2.67,0.3993997748072448,2,0.0,0.0,cycle,1,exploit,1.288833864123359,0.0
AL,295,40,1757884512.23521,5531.2161250039935,5.53917087498121,5.5,0.2,1.8250000000000002,1.725,1.5,-1.133113,2.19,2.32,2.67,0.3993997748072448,2,0.0,0.0,cycle,1,exploit,1.263259968057647,0.0
AL,295,41,1757884517.874107,5629.204583005048,5.638725084019825,5.5,0.2,2.075,1.725,1.5,-1.017183,1.93,2.32,2.67,0.3993997748072448,2,0.0,0.0,cycle,1,explore,1.1134778116032926,0.0
