algo,seed,evaluation,timestamp,t_env_ms,wall_time_s,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,rank,cd_raw,cd_tilde,phase,cycle,select_mode,y_pred,y_pred_std
AL,145,1,1757889382.6680949,5525.549708050676,5.528072041925043,3.0,0.2,1.075,0.975,0.875,1.556467,14.75,17.93,22.26,1.0,1,inf,1.0,init,0,random,,
AL,145,2,1757889388.275181,5605.782083934173,5.607038707938045,4.75,0.4,1.7000000000000002,1.6,1.5,1.647219,9.4,10.62,12.08,1.0,1,inf,1.0,init,0,random,,
AL,145,3,1757889393.810306,5532.391207991168,5.535062333918177,4.5,0.2,2.95,2.475,2.125,-12.527936,1.66,1.98,2.3,1.0,1,inf,1.0,init,0,random,,
AL,145,4,1757889399.331871,5519.820166984573,5.521522750030272,4.75,0.3,2.075,1.6,1.125,1.902807,3.6,5.87,12.08,0.4490165202450388,2,0.0,0.0,init,0,random,,
AL,145,5,1757889404.8660438,5531.065875082277,5.534093250054866,4.25,0.3,2.325,2.1,1.875,2.2284,3.58,4.26,5.31,0.4490165202450388,2,0.0,0.0,init,0,random,,
AL,145,6,1757889410.398701,5530.8373749721795,5.532571249990724,3.5,0.4,1.075,0.975,0.625,1.168345,43.31,52.63,128.17,0.4490165202450388,2,0.0,0.0,init,0,random,,
AL,145,7,1757889415.9139352,5511.363208992407,5.515159959089942,5.25,0.4,1.4500000000000002,1.1,0.875,1.505811,10.58,18.4,29.07,0.4490165202450388,2,0.0,0.0,init,0,random,,
AL,145,8,1757889422.204031,6287.091249949299,6.290017041028477,4.75,0.2,2.075,1.725,1.5,2.117197,2.23,2.69,3.18,0.4490165202450388,2,0.0,0.0,init,0,random,,
AL,145,9,1757889427.747118,5541.241417056881,5.543032250017859,3.0,0.4,1.325,0.975,0.625,1.113477,38.81,71.62,173.8,0.4490165202450388,2,0.0,0.0,init,0,random,,
AL,145,10,1757889433.348525,5597.975165932439,5.601336583029479,4.75,0.2,0.95,0.6,0.5,1.932334,7.52,18.88,27.19,0.29934434683002586,3,0.0,0.0,init,0,random,,
AL,145,11,1757889438.989654,5639.232582994737,5.64106958406046,4.5,0.4,2.075,1.975,1.75,1.737537,7.0,7.76,9.89,0.4490165202450388,2,0.0,0.0,init,0,random,,
AL,145,12,1757889444.6936388,5700.32766694203,5.703918082988821,3.75,0.4,2.45,1.975,1.625,1.561415,7.25,11.18,16.52,0.4490165202450388,2,0.0,0.0,init,0,random,,
AL,145,13,1757889450.244025,5547.198374988511,5.55031500000041,4.75,0.4,1.4500000000000002,1.1,1.0,1.462755,12.93,22.47,27.19,0.4490165202450388,2,0.0,0.0,init,0,random,,
AL,145,14,1757889455.8456352,5597.288708086126,5.601528125000186,4.0,0.3,2.7,2.475,2.25,2.295307,3.14,3.57,4.2,0.29934434683002586,3,0.0,0.0,init,0,random,,
AL,145,15,1757889461.3966022,5548.8250410417095,5.550902166985907,3.25,0.4,1.4500000000000002,1.225,0.875,1.222134,27.62,38.69,75.77,0.4490165202450388,2,0.0,0.0,init,0,random,,
AL,145,16,1757889466.9207401,5520.500959013589,5.524077208014205,4.5,0.4,2.075,1.6,1.125,1.551663,7.0,11.83,23.94,0.4490165202450388,2,0.0,0.0,init,0,random,,
AL,145,17,1757889472.444536,5521.6164579615,5.523736875038594,3.5,0.2,1.2000000000000002,1.1,1.0,1.771195,8.69,10.34,12.52,0.29934434683002586,3,0.0,0.0,init,0,random,,
