algo,seed,evaluation,timestamp,t_env_ms,wall_time_s,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,rank,cd_raw,cd_tilde,phase,cycle,select_mode,y_pred,y_pred_std
AL,295,1,1757894927.323277,5529.762167017907,5.532301167026162,4.25,0.4,1.2,0.975,0.875,1.322474,23.59,35.72,44.33,1.0,1,inf,1.0,init,0,random,,
AL,295,2,1757894932.8919601,5567.406040965579,5.568594167008996,5.25,0.2,1.7000000000000002,1.475,1.125,2.915667,2.47,2.86,4.32,1.0,1,inf,1.0,init,0,random,,
AL,295,3,1757894938.4040031,5509.886707994156,5.51196870894637,5.0,0.3,1.5750000000000002,1.475,1.375,2.024356,5.44,6.26,7.28,0.9999999999999418,1,3.999999999999269,0.99999999999975,init,0,random,,
AL,295,4,1757894943.924028,5518.6852919869125,5.519964916980825,4.5,0.4,2.45,1.975,1.5,1.704805,4.93,7.76,13.46,0.9999999999999032,1,2.4037247489397355,0.9999999999995839,init,0,random,,
AL,295,5,1757894949.543944,5616.923541994765,5.619825916946866,3.25,0.4,2.075,1.6,1.375,1.367893,13.49,22.69,30.72,0.9999999999999145,1,2.7217924733592396,0.9999999999996325,init,0,random,,
AL,295,6,1757894955.1555998,5610.124959028326,5.611567332991399,4.5,0.3,2.2,2.1,2.0,2.288087,3.57,3.86,4.2,1.0,1,inf,1.0,init,0,random,,
AL,295,7,1757894960.670039,5511.810333002359,5.514366374933161,3.25,0.3,2.45,2.35,2.125,1.915781,5.32,5.8,7.21,0.8628003727394751,1,1.117856956912096,0.4101975799261382,init,0,random,,
AL,295,8,1757894966.198289,5526.461833971553,5.528172292048112,4.0,0.4,1.8250000000000002,1.475,1.375,1.48053,11.51,17.63,20.28,0.9567927485321178,1,1.482760755944902,0.8142579394030975,init,0,random,,
AL,295,9,1757894971.754459,5553.03145898506,5.556083541014232,3.5,0.3,1.7000000000000002,1.35,0.875,1.464605,9.74,15.46,36.78,0.9111923551035376,1,1.003298981248876,0.618228089049159,init,0,random,,
AL,295,10,1757894977.337826,5580.116875004023,5.583251832984388,3.25,0.2,1.7000000000000002,1.225,1.0,1.779101,4.91,9.67,14.52,0.8535404218859604,1,0.6010924379648892,0.37039031854927434,init,0,random,,
AL,295,11,1757894982.9051678,5565.678833052516,5.567242958000861,4.75,0.3,2.45,2.35,2.125,2.088741,2.85,3.0,3.47,1.0,1,inf,1.0,init,0,random,,
