algo,seed,evaluation,timestamp,t_env_ms,wall_time_s,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,rank,cd_raw,cd_tilde,phase,cycle,select_mode,y_pred,y_pred_std
AL,97,1,1757898109.952069,5487.778375041671,5.489860333036631,4.25,0.4,0.95,0.6,0.5,1.186076,37.62,94.25,135.84,1.0,1,inf,1.0,init,0,random,,
AL,97,2,1757898115.460651,5506.180291995406,5.508611333090812,4.0,0.3,2.2,2.1,1.75,2.033155,4.38,4.78,7.01,1.0,1,inf,1.0,init,0,random,,
AL,97,3,1757898120.99611,5533.558833994903,5.535511207999662,4.5,0.2,0.95,0.725,0.625,1.911104,8.39,14.41,19.39,0.9999999999999551,1,3.9999999999987708,0.99999999999975,init,0,random,,
AL,97,4,1757898126.474627,5477.350124972872,5.478577625006437,5.25,0.2,2.825,2.475,2.25,-73.219257,1.48,1.69,1.86,1.0,1,inf,1.0,init,0,random,,
AL,97,5,1757898131.965259,5488.10420895461,5.490689292084426,4.75,0.4,1.4500000000000002,1.35,1.125,1.514841,12.93,14.92,21.49,0.41041611938714617,2,0.0,0.0,init,0,random,,
AL,97,6,1757898137.6035662,5634.958209004253,5.638327874941751,5.0,0.2,1.8250000000000002,1.475,1.25,2.81091,2.41,3.03,3.91,0.41041611938714617,2,0.0,0.0,init,0,random,,
AL,97,7,1757898143.1173482,5512.211834080517,5.513821625034325,3.0,0.2,1.2000000000000002,1.1,0.625,1.509719,11.83,14.08,43.6,0.41041611938714617,2,0.0,0.0,init,0,random,,
AL,97,8,1757898148.634132,5514.6292499266565,5.516822165925987,3.5,0.3,2.325,1.85,1.75,1.80016,5.09,8.23,9.19,0.41041611938714617,2,0.0,0.0,init,0,random,,
AL,97,9,1757898154.147543,5512.015999993309,5.513470416073687,3.5,0.4,1.45,0.975,0.75,1.223355,23.82,52.63,88.94,0.41041611938714617,2,0.0,0.0,init,0,random,,
AL,97,10,1757898159.650906,5501.8682919908315,5.503428499912843,4.75,0.2,1.3250000000000002,1.1,0.75,2.23099,3.86,5.5,12.08,0.41041611938714617,2,0.0,0.0,init,0,random,,
AL,97,11,1757898165.152478,5499.4280830724165,5.501607290934771,4.25,0.2,2.45,1.975,1.75,1.44094,2.11,2.62,3.0,0.41041611938714617,2,0.0,0.0,init,0,random,,
AL,97,12,1757898170.6510239,5496.992375003174,5.498600666993298,3.5,0.4,1.4500000000000002,1.225,0.875,1.257812,23.82,33.36,65.34,0.41041611938714617,2,0.0,0.0,init,0,random,,
AL,97,13,1757898176.1504252,5497.784959035926,5.499457042082213,3.75,0.4,2.2,1.725,1.5,1.502661,9.01,14.66,19.39,0.27361074625809745,3,0.0,0.0,init,0,random,,
AL,97,14,1757898181.651768,5499.587874975987,5.501405291957781,4.25,0.4,3.2,2.725,2.25,2.055046,3.41,4.48,6.65,0.27361074625809745,3,0.0,0.0,init,0,random,,
AL,97,15,1757898187.175329,5520.884249941446,5.523618625011295,3.25,0.4,1.5750000000000002,1.225,0.875,1.233587,23.42,38.69,75.77,0.41041611938714617,2,0.0,0.0,init,0,random,,
