algo,seed,evaluation,timestamp,t_env_ms,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,phase,generation,valid,rank,crowding_distance
GA,833,1,1757791281.578624,5694.4915420608595,4.883538172526037,0.2082049937410008,2.803524617621776,2.5745387618337663,2.1943131358318224,-25.153289,1.67,1.82,2.14,-10.0,init,0,False,0.0,inf
GA,833,2,1757791287.1008298,5521.698417025618,3.6335381725260367,0.3193161048521119,2.188589552686711,1.9959673332623378,1.8443131358318223,1.804252,6.09,7.42,8.7,-4.025252,init,0,False,3.0,0.06625303684008378
GA,833,3,1757791292.6069288,5505.60941605363,4.258538172526037,0.3859827715187786,1.9197583838555405,1.581681618976622,1.1443131358318213,1.52388,8.54,12.59,24.06,-6.04288,init,0,False,3.0,0.13329503448743033
GA,833,4,1757791298.1362739,5528.945917030796,3.0085381725260367,0.2526494381854452,2.1502778643750227,1.7031101904051948,1.4943131358318222,1.704298,5.73,9.32,12.11,-4.420298000000001,init,0,False,2.0,0.13966681153707197
GA,833,5,1757791303.6339478,5497.42095801048,5.196038172526037,0.3045012900372971,1.40871942281658,1.2888244761194796,0.7943131358318215,1.732112,6.57,7.92,20.87,-5.268112,init,0,False,3.0,0.07312733249109254
GA,833,6,1757791309.126863,5492.40683298558,3.9460381725260367,0.37116795670396374,2.6229494784752077,2.357599986323562,2.124313135831822,1.902019,4.82,6.0,7.5,-3.734019,init,0,False,3.0,0.1286480703381806
GA,833,7,1757791314.661675,5534.435166977346,4.571038172526037,0.2378346233706304,2.4391832447089743,2.0647428434664192,1.774313135831822,2.211664,2.35,2.78,3.4,-3.0646639999999996,init,0,False,3.0,inf
GA,833,8,1757791320.1452951,5483.364124898799,3.3210381725260367,0.28227906781507484,1.9186401514386073,1.4218857006092755,1.0743131358318214,1.546381,7.51,13.7,24.0,-6.067381,init,0,False,2.0,0.23257409121627043
GA,833,9,1757791325.6404638,5494.84704202041,5.156975672526037,0.34894573448174154,1.9673414501399065,1.5433142720378474,1.424313135831822,1.918448,4.45,7.35,8.65,-3.9634480000000005,init,0,False,2.0,0.10757297829347301
GA,833,10,1757791331.153908,5513.091167085804,3.9069756725260367,0.21561240114840818,1.2985102813087375,1.1290285577521328,0.7243131358318216,1.736026,6.88,9.16,22.26,-5.566026,init,0,False,3.0,2.443581723408582
