algo,seed,evaluation,timestamp,t_env_ms,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,phase,generation,valid,rank,crowding_distance
GA,97,1,1757800411.133038,5543.182666995563,3.523425810494737,0.3758135940528536,1.8043246816552572,1.4744016980263979,1.0951087898753464,1.379295,13.4,20.07,36.36,-8.362295,init,0,False,4.0,1.1256967488706855
GA,97,2,1757800416.641388,5507.873040973209,4.773425810494738,0.30914692738618693,2.0036753310059066,1.7101159837406834,1.4451087898753463,2.034843,3.98,5.38,7.69,-3.739843,init,0,False,3.0,2.4889306304504784
GA,97,3,1757800422.17962,5537.793416995555,4.148425810494738,0.2054432236824832,2.8023766297072052,2.581544555169255,2.1451087898753465,-3.689063,1.94,2.11,2.54,-10.0,init,0,False,3.0,0.0
GA,97,4,1757800427.6848938,5504.991166992113,5.398425810494738,0.33877655701581655,1.1374415647721403,0.9529731265978265,0.7451087898753465,1.570595,11.67,16.63,27.2,-7.120595000000001,init,0,False,3.0,1.2070427199289573
GA,97,5,1757800433.1811998,5496.087040985003,3.132800810494737,0.27210989034914984,2.2653636426942185,2.117258840883541,1.7951087898753466,1.821143,5.52,6.38,8.97,-3.908143,init,0,False,2.0,0.34491002956005024
GA,97,6,1757800438.704448,5522.5414170417935,4.382800810494738,0.24988766812692764,1.542116889447465,1.1758302694549694,1.0251087898753464,1.847778,5.12,9.01,11.86,-4.446778,init,0,False,2.0,0.5283152906058395
GA,97,7,1757800444.2269702,5522.144375019707,3.757800810494737,0.383221001460261,1.939612251228541,1.8278710857815,1.3751087898753465,1.500616,10.6,11.93,21.09,-5.862616000000001,init,0,False,2.0,0.3969055675335165
GA,97,8,1757800449.782668,5555.295999976806,5.007800810494738,0.31655433479359435,2.8525992642155544,2.413585371495786,2.0751087898753466,2.279817,2.44,2.9,3.6,-3.173817,init,0,False,2.0,inf
GA,97,9,1757800455.326431,5543.392040999606,3.445300810494737,0.22766544590470542,1.1564953681116579,0.8992996572100713,0.6751087898753464,1.503229,12.52,20.7,36.72,-8.497228999999999,init,0,False,3.0,inf
GA,97,10,1757800460.981281,5654.142292100005,4.695300810494738,0.36099877923803875,2.5994115428460147,2.120728228638643,1.7251087898753465,2.029944,3.44,4.92,7.61,-3.626944,init,0,False,2.0,0.2993004444194854
GA,97,11,1757800468.5062242,7523.798999958672,4.070300810494738,0.29433211257137204,1.5281128415473133,1.1221568000672142,0.9551087898753463,1.580515,8.58,15.92,21.98,-6.228515000000001,init,0,False,3.0,1.6500070187685059
