algo,seed,evaluation,timestamp,t_env_ms,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,phase,generation,valid,rank,crowding_distance
GA,295,1,1757807074.962892,5542.432292015292,3.7395352245289173,0.2830192741282424,1.331421417136116,1.0569608199753917,0.8222859970280281,1.480105,12.39,19.66,32.47,-7.932105,init,0,False,0.0,0.5200303324401649
GA,295,2,1757807080.525837,5562.66874994617,4.989535224528917,0.3941303852393535,2.3425902483049477,1.9226751056896778,1.8022859970280285,1.96608,4.29,6.4,7.35,-3.77008,init,0,False,0.0,0.16626317467067675
GA,295,3,1757807086.023676,5497.499041026458,3.1145352245289173,0.26079705190602015,2.8128128828132968,2.5747159220162086,2.1522859970280286,2.166678,3.47,4.02,5.69,-3.484678,init,0,False,1.0,0.28300803464131147
GA,295,4,1757807091.533547,5509.573332965374,4.364535224528917,0.32746371857268686,2.102423272423686,1.6461444934447798,1.4522859970280284,1.812386,4.77,7.96,10.23,-4.108386,init,0,False,0.0,0.1877499857476429
GA,295,5,1757807097.203233,5669.246833072975,4.052035224528917,0.37190816301713125,1.9290466490470624,1.5818587791590653,1.1022859970280283,1.50536,8.68,12.91,26.58,-6.32236,init,0,False,1.0,0.297423393866234
GA,295,6,1757807102.7161589,5512.535832938738,5.302035224528917,0.23857482968379795,1.2026593999325401,1.0604302077304935,0.752285997028028,2.050927,5.24,6.86,13.72,-4.6329270000000005,init,0,False,1.0,4.0
GA,295,7,1757807108.307743,5591.198083013296,3.4270352245289173,0.3052414963504646,2.2061658934390347,2.0275730648733514,1.6622859970280286,1.724681,6.16,7.38,11.01,-4.179681,init,0,False,1.0,0.22239686221068652
GA,295,8,1757807113.846997,5538.855999941006,4.677035224528917,0.3348711259800943,2.550971088244229,2.2632873505876367,2.0122859970280285,2.302273,3.18,3.83,4.75,-3.4782729999999997,init,0,False,0.0,0.11962431838433568
GA,295,9,1757807119.348546,5500.974916038103,3.8957852245289173,0.20153779264676092,1.5548671921403328,1.4490016363019225,1.3122859970280283,2.278117,4.19,4.78,5.85,-3.760117,init,0,False,1.0,inf
GA,295,10,1757807124.94351,5594.446667004377,5.145785224528917,0.26820445931342757,1.8705443721032269,1.4010424526284528,0.9622859970280282,2.060338,3.15,5.18,11.25,-4.018338,init,0,False,0.0,0.18381089250202842
GA,295,11,1757807130.536679,5592.837499920279,3.2707852245289173,0.3793155704245387,1.1828820344408892,0.8224710240570243,0.6122859970280281,1.152157,36.84,76.15,137.54,-26.205157,init,0,False,0.0,inf
GA,295,12,1757807136.0544798,5517.525250092149,4.520785224528917,0.24598223709120537,2.479505411064266,2.2281853097713102,1.7322859970280284,2.494,2.42,2.69,3.79,-3.3840000000000003,init,0,False,1.0,inf
GA,295,13,1757807141.587538,5532.746125012636,4.208285224528917,0.312648903757872,2.80353138509024,2.4067567383427386,2.0822859970280283,2.317479,2.95,3.68,4.77,-3.457479,init,0,False,0.0,0.18663861948869548
GA,295,14,1757807147.101683,5513.947291998193,5.458285224528917,0.3570933482023165,1.9788560604149152,1.7638995954855958,1.3822859970280283,1.98213,4.14,5.15,8.59,-3.77013,init,0,False,0.0,0.2146240971580342
GA,295,15,1757807152.605181,5503.146957955323,3.5832852245289173,0.22376001486898314,1.7327521643110193,1.2996138811998816,1.0322859970280283,1.78789,4.87,8.85,14.03,-4.56289,init,0,False,0.0,0.28774552647838725
GA,295,16,1757807158.139172,5533.594792010263,4.833285224528917,0.29042668153564977,1.1593755409343958,0.8353281669141672,0.6822859970280282,1.575346,10.3,19.84,29.74,-7.563345999999999,init,0,False,1.0,inf
GA,295,17,1757807164.0072541,5862.728625070304,3.128984342795414,0.2595568707494034,1.2939912814868597,1.0553630882644076,0.8161758171424199,1.409518,15.76,23.69,39.59,-9.313518,generation,1,False,0.0,2.359809922091323
GA,295,18,1757807169.638127,5630.526375025511,3.7374974113210935,0.28220552414092326,2.8052984220338812,2.5300686045634775,2.1274424911843433,2.31698,3.0,3.49,4.72,-3.4379800000000005,generation,1,False,,
GA,295,19,1757807175.174179,5535.851792083122,4.364535224528917,0.3205826669045827,2.102423272423686,1.6461444934447798,1.4522859970280284,1.841297,4.58,7.62,9.8,-4.041297,generation,1,False,0.0,0.14269881411235372
GA,295,20,1757807180.694865,5520.309583982453,4.364535224528917,0.32746371857268686,2.102423272423686,1.6461444934447798,1.4522859970280284,1.812386,4.77,7.96,10.23,-4.108386,generation,1,False,,
GA,295,21,1757807186.201133,5505.93254098203,4.427607627850021,0.32753489160633686,1.430977364268556,1.0298619441538253,0.8434063802402415,1.510988,10.24,19.79,29.49,-7.462988,generation,1,False,,
GA,295,22,1757807191.726121,5524.626457947306,4.383128362193032,0.3726660956575745,2.339801140839814,1.8866460836427377,1.4474719769738156,1.71829,4.95,7.78,13.23,-4.31429,generation,1,False,0.0,0.22969308026191915
GA,295,23,1757807197.274334,5547.828458016738,3.399805983531307,0.2860046631511598,2.1121845684998624,1.9102273371720533,1.659374091547579,1.772624,5.98,7.42,9.85,-4.097624,generation,1,False,,
GA,295,24,1757807202.823574,5549.009499954991,4.682190761069235,0.33464064823813544,2.6618944425258793,2.3675702385577115,2.022632024229547,2.332219,2.99,3.55,4.68,-3.4542189999999997,generation,1,False,,
GA,295,25,1757807208.34179,5517.844915972091,5.145785224528917,0.26820445931342757,1.8705443721032269,1.4010424526284528,0.9622859970280282,2.060338,3.15,5.18,11.25,-4.018338,generation,1,False,,
GA,295,26,1757807213.875255,5533.022708026692,5.145785224528917,0.2732761344258857,1.8705443721032269,1.4010424526284528,0.9622859970280282,2.026678,3.24,5.39,11.68,-4.057678,generation,1,False,,
GA,295,27,1757807219.432033,5556.537208030932,3.2707852245289173,0.3814282785432238,1.2194236197898285,0.8590126094059636,0.6122859970280281,1.155437,35.06,70.58,139.08,-25.627437000000004,generation,1,False,0.0,0.19086156608663563
GA,295,28,1757807224.943497,5511.079207994044,3.2707852245289173,0.3773418051738712,1.1828820344408892,0.8224710240570243,0.6122859970280281,1.154597,36.46,75.35,136.11,-25.946597,generation,1,False,0.0,0.853982392049137
GA,295,29,1757807230.55249,5608.433000044897,4.530372586629728,0.23932071163184795,1.986803405433993,1.7727458432746146,1.390105237788519,2.416952,2.96,3.48,5.41,-3.6019520000000003,generation,1,False,,
GA,295,30,1757807236.0993989,5546.530166990124,5.472675440205418,0.35104728293542625,2.4526040193522287,2.20199128337585,1.7125502825419276,2.349187,2.9,3.36,5.26,-3.501187,generation,1,False,0.0,0.17366076702334915
GA,295,31,1757807241.7349188,5634.281167061999,3.6099314055701224,0.22376001486898314,1.7327521643110193,1.2996138811998816,1.0322859970280283,1.796203,4.8,8.72,13.82,-4.530203,generation,1,False,,
GA,295,32,1757807247.294824,5559.376916964538,3.5832852245289173,0.22376001486898314,1.7327521643110193,1.2996138811998816,1.0322859970280283,1.78789,4.87,8.85,14.03,-4.56289,generation,1,False,1.0,0.29244875436418916
GA,295,33,1757807252.845124,5544.412833987735,3.2823634529197565,0.2595568707494034,1.2939912814868597,1.0553630882644076,0.8161758171424199,1.442663,14.32,21.53,35.98,-8.625663,generation,2,False,0.0,0.7358731762642791
GA,295,34,1757807258.379455,5533.9535410748795,3.128984342795414,0.22880333733213004,1.3292263798994317,1.0905981866769796,0.8514109155549918,1.517508,11.6,17.24,28.28,-7.229508,generation,2,False,,
GA,295,35,1757807263.930568,5550.775916897692,3.2707852245289173,0.3771942000640981,1.1832008589471594,0.8227898485632945,0.6122859970280281,1.154832,36.41,75.24,136.0,-25.919832,generation,2,False,,
GA,295,36,1757807269.4359481,5505.100458976813,3.2707852245289173,0.38151432186549966,1.250974996854492,0.8905639864706272,0.6122859970280281,1.160535,33.33,65.7,139.14,-24.977535,generation,2,False,1.0,0.16421149457703446
GA,295,37,1757807275.132332,5695.827583083883,3.261003558794834,0.22816201761319613,1.1153772365285022,0.7575763760462176,0.5478867339653335,1.409769,15.09,32.7,62.46,-12.434769000000001,generation,2,False,,
GA,295,38,1757807280.6869261,5554.196165991016,3.5930885672194783,0.36575734439372365,1.747148747233614,1.3142089989405685,1.0426838250081076,1.383293,13.01,23.01,36.53,-8.638293,generation,2,False,1.0,2.0817142099986063
GA,295,39,1757807286.181173,5493.894250015728,3.7395352245289173,0.2830192741282424,1.3316736552860786,1.0569608199753917,0.8222859970280281,1.480132,12.38,19.66,32.47,-7.931132,generation,2,False,,
GA,295,40,1757807291.753648,5571.998834027909,3.7395352245289173,0.2799304192334057,1.331421417136116,1.0569608199753917,0.8222859970280281,1.488313,12.12,19.23,31.77,-7.800313000000001,generation,2,False,0.0,0.26129368341208686
