algo,seed,evaluation,timestamp,t_env_ms,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,phase,generation,valid,rank,crowding_distance
GA,448,1,1757813468.3303769,5472.757540992461,3.5470913109135225,0.2787852983701959,1.9437828177625789,1.6211096342905886,1.1643920051904944,1.657855,6.18,9.01,17.47,-4.923855,init,0,False,1.0,0.11966531976560198
GA,448,2,1757813473.8466098,5515.951709006913,4.7970913109135225,0.3454519650368626,2.6957308697106313,2.263966777147732,1.8643920051904947,2.258889,2.98,3.87,5.6,-3.503889,init,0,False,2.0,0.3174731900186334
GA,448,3,1757813479.380849,5533.976375008933,4.1720913109135225,0.21211863170352924,2.0741842345276322,1.685395348576303,1.5143920051904944,2.515721,2.7,3.55,4.26,-3.5667210000000003,init,0,False,2.0,inf
GA,448,4,1757813484.879091,5498.1010829797015,5.4220913109135225,0.30100752059241814,1.3749263495554613,1.058864736331405,0.8143920051904945,1.762561,6.16,10.54,17.82,-5.214561,init,0,False,1.0,0.4095142698137725
GA,448,5,1757813490.369048,5489.814291009679,3.2345913109135225,0.3676741872590848,2.65297829760741,2.4460075934742624,2.1443920051904946,1.655426,7.0,8.28,10.77,-4.260426,init,0,False,1.0,0.23223376521692052
GA,448,6,1757813495.8438709,5474.638625048101,4.4845913109135225,0.23434085392575146,1.7224588170879287,1.2245790220456905,1.0943920051904943,2.075379,3.58,6.94,8.74,-4.001379,init,0,False,3.0,inf
GA,448,7,1757813501.30249,5458.406416000798,3.8595913109135225,0.315822335407233,2.578302972932085,2.1531504506171193,1.7943920051904945,1.956805,3.86,5.42,7.97,-3.6818049999999998,init,0,False,2.0,1.485066454560044
GA,448,8,1757813506.807072,5504.433750058524,5.1095913109135225,0.38248900207389963,2.0880432326723444,1.9174361649028335,1.4443920051904944,1.843587,4.82,5.73,10.3,-3.9285870000000003,init,0,False,1.0,0.3514006297480372
GA,448,9,1757813512.305263,5498.008291004226,3.3127163109135225,0.24915566874056627,1.294536739165851,1.1602933077599764,0.7443920051904945,1.470305,12.94,16.11,39.12,-8.287305,init,0,False,1.0,0.20307739813650869
GA,448,10,1757813517.825278,5519.609541981481,4.5627163109135225,0.27137789096278847,2.5414198560489685,2.2617218791885483,2.0743920051904947,1.90032,2.58,2.92,3.28,-2.77832,init,0,False,1.0,inf
GA,448,11,1757813523.319278,5493.809999898076,3.9377163109135225,0.3380445576294552,1.504035811522066,1.2607014710252824,1.0243920051904944,1.473548,12.49,17.78,26.93,-7.193548000000001,init,0,False,1.0,0.7651519753935339
GA,448,12,1757813528.9943302,5674.71608298365,5.1877163109135225,0.20471122429612185,2.370269577755833,2.01784432816814,1.7243920051904946,-3.970686,1.83,2.15,2.52,-10.0,init,0,False,0.0,inf
GA,448,13,1757813534.5741,5579.472417011857,3.0002163109135225,0.29360011318501067,1.9579319154181705,1.4964157567395684,1.3743920051904945,1.50876,9.57,16.4,19.44,-6.049759999999999,init,0,False,2.0,inf
GA,448,14,1757813540.065965,5491.746790939942,4.2502163109135225,0.36026677985167743,1.3939413605185242,1.0249871853109969,0.6743920051904945,1.373041,14.18,26.22,60.51,-11.464041000000002,init,0,False,1.0,0.21346953128193413
GA,448,15,1757813545.5499399,5482.749000075273,3.6252163109135225,0.22693344651834407,2.765499802076966,2.469272899596711,2.0043920051904944,2.376222,2.49,2.8,3.75,-3.2802219999999997,init,0,False,1.0,inf
GA,448,16,1757813551.044389,5494.161333073862,4.8752163109135225,0.33063715022204776,1.5492660358431996,1.3621300424538538,0.9543920051904944,1.664787,7.33,9.5,19.36,-5.283787,init,0,False,2.0,2.0089943005465987
GA,448,17,1757813556.5514839,5506.9362909998745,3.4689663109135225,0.3973038168887144,2.3116036981808623,1.8335586138824256,1.6543920051904946,1.492582,9.41,14.96,18.38,-5.767582000000001,init,0,False,1.0,0.5683890718551426
GA,448,18,1757813562.054583,5502.770125051029,4.7189663109135225,0.26397048355538105,1.9786723438209362,1.5733545322497724,1.3043920051904945,2.197365,3.22,4.74,7.02,-3.6953650000000002,init,0,False,2.0,0.4193062094376462
GA,448,19,1757813567.5452108,5490.315375034697,4.0939663109135225,0.2861927057776033,1.0812697464183387,0.9304973893926295,0.6043920051904945,1.438598,16.03,21.64,51.25,-10.330598000000002,init,0,False,1.0,0.3677439749522473
GA,448,20,1757813573.0246232,5479.24195905216,5.3439663109135225,0.35285937244427,2.203477538626131,2.0890688179640584,1.9343920051904946,2.307274,3.51,3.83,4.39,-3.480274,init,0,False,2.0,0.3824919608262074
GA,448,21,1757813578.5089338,5483.970916015096,3.1564663109135225,0.21952603911093665,1.5275035126521053,1.2676402465354868,0.8843920051904945,1.608873,7.94,11.54,23.71,-5.927873,init,0,False,1.0,0.3413507183417448
GA,448,22,1757813584.094539,5584.957750048488,4.4064663109135225,0.30841492799982556,2.305425590574183,2.081925960821201,1.5843920051904945,2.074911,3.58,4.27,7.47,-3.606911,init,0,False,2.0,0.39308805162141636
GA,448,23,1757813589.577396,5482.222083956003,3.7814663109135225,0.3750815946664922,2.007373642522235,1.6747831036783438,1.2343920051904944,1.487763,9.36,13.45,24.76,-6.244763000000001,init,0,False,1.0,0.7383169793337594
GA,448,24,1757813595.068932,5491.307041957043,5.0314663109135225,0.24174826133315888,1.1878931230417153,0.7462116751069152,0.5343920051904945,1.78152,6.18,15.9,30.99,-7.088519999999999,init,0,False,2.0,inf
GA,448,25,1757813600.638198,5563.457916025072,3.557978493785513,0.28149927486108256,1.4229566882852815,1.106053944786956,0.8662694286311161,1.472874,11.85,19.62,31.98,-7.817874000000001,generation,1,False,1.0,0.11323614390256559
GA,448,26,1757813606.135989,5497.631249949336,5.480508344071643,0.30043267160870696,1.9317587301241161,1.6092998785892623,1.1537948498211748,2.124777,3.23,4.37,8.65,-3.749777,generation,1,False,,
GA,448,27,1757813611.64312,5506.9046249846,5.1095913109135225,0.38248900207389963,2.0880432326723444,1.9174361649028335,1.4443920051904944,1.843587,4.82,5.73,10.3,-3.9285870000000003,generation,1,False,,
GA,448,28,1757813617.113868,5470.583291025832,5.1095913109135225,0.38248900207389963,2.0880432326723444,1.9174361649028335,1.4443920051904944,1.843587,4.82,5.73,10.3,-3.9285870000000003,generation,1,False,1.0,0.06682334303595311
GA,448,29,1757813622.605494,5491.500834003091,3.4964807101476514,0.24993316316411684,1.2982485168468716,1.1648685784017792,0.7487936203169179,1.51003,11.62,14.44,34.93,-7.609030000000001,generation,1,False,,
GA,448,30,1757813628.108771,5503.148416988552,5.226925741114389,0.37526770480247634,2.104609423111579,1.9555761520151245,1.4803241100204656,1.928448,4.38,5.05,9.02,-3.773448,generation,1,False,,
GA,448,31,1757813633.845729,5736.627249978483,3.2024200627587103,0.25116686415319106,1.0412956385933199,0.9123376531873094,0.7249351025145043,1.382767,21.75,28.33,44.85,-10.875767,generation,1,False,1.0,0.4206367654687119
GA,448,32,1757813639.3801441,5534.034792101011,4.527459495471916,0.2708026441267585,2.8298749666492804,2.538544001022883,2.122448575392004,1.852502,2.33,2.59,3.2,-2.664502,generation,1,False,2.0,inf
GA,448,33,1757813644.879353,5499.0015419898555,3.9377163109135225,0.3380445576294552,1.504035811522066,1.2607014710252824,1.0243920051904944,1.473548,12.49,17.78,26.93,-7.193548000000001,generation,1,False,1.0,0.10527062450414014
