algo,seed,evaluation,timestamp,t_env_ms,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,phase,generation,valid,rank,crowding_distance
GA,584,1,1757824934.124149,5480.028000078164,3.142826984041067,0.2828596899550463,2.2839094969487816,2.102994136537379,1.7115381892322312,1.742774,5.84,6.99,10.6,-4.085774,init,0,False,1.0,0.14296404534466237
GA,584,2,1757824939.632633,5508.2220420008525,4.392826984041067,0.34952635662171305,1.2442991073383922,0.8815655651088077,0.6615381892322312,1.381023,15.68,31.23,55.41,-11.613022999999998,init,0,False,6.0,inf
GA,584,3,1757824945.175358,5542.4719580914825,3.7678269840410668,0.2532300603254167,1.5735198865591715,1.1744227079659506,1.0115381892322313,1.671001,6.96,12.55,16.93,-5.3150010000000005,init,0,False,1.0,0.3621145913780472
GA,584,4,1757824950.678144,5502.242667018436,5.017826984041067,0.3198967269920834,2.0274159904552755,1.8101369936802363,1.3615381892322314,2.028059,3.8,4.65,8.4,-3.7130590000000003,init,0,False,1.0,0.38706108752366974
GA,584,5,1757824956.1774888,5498.890249989927,3.5334519840410668,0.38656339365875003,2.2754679385072234,2.1672798508230935,2.0615381892322313,1.625926,8.86,9.77,10.79,-4.567926,init,0,False,3.0,0.3849761180523672
GA,584,6,1757824961.642624,5464.805208030157,4.783451984041067,0.23100783810319447,2.447675730715016,1.9758512793945222,1.6415381892322314,2.368565,2.17,2.69,3.41,-3.1955649999999998,init,0,False,4.0,inf
GA,584,7,1757824967.135224,5492.199584026821,4.158451984041067,0.2976745047698611,1.3204957678207672,0.8850349528639097,0.5915381892322311,1.441949,11.26,25.08,56.09,-10.684949,init,0,False,6.0,inf
GA,584,8,1757824972.655752,5520.017708069645,5.408451984041067,0.36434117143652783,1.639326936651936,1.349320667149624,0.9415381892322313,1.677736,6.4,9.55,19.63,-5.235735999999999,init,0,False,3.0,0.3168599081371316
GA,584,9,1757824978.160316,5503.9434160571545,3.220951984041067,0.20878561588097225,1.854262001587001,1.5278920957210527,1.2915381892322313,1.89382,4.59,6.86,9.65,-4.00382,init,0,False,1.0,0.22819852424084985
GA,584,10,1757824983.6516402,5490.875375107862,4.470951984041067,0.27545228254763887,2.434309227088772,2.1707492385781957,1.9915381892322312,2.265855,2.79,3.23,3.69,-3.2368550000000003,init,0,False,2.0,inf
GA,584,11,1757824989.12759,5475.659125018865,3.8459519840410668,0.34211894921430563,2.400932603712149,2.2464635242924813,1.7815381892322313,1.809489,5.14,5.91,9.56,-3.870489,init,0,False,1.0,0.17063476509389605
GA,584,12,1757824994.606602,5478.762375074439,5.095951984041067,0.24582265291800928,1.044439097218642,0.8536063814353383,0.7315381892322311,1.846274,8.18,12.24,16.67,-5.555274000000001,init,0,False,2.0,inf
GA,584,13,1757825000.1082602,5501.355333020911,3.377201984041067,0.312489319584676,1.8048287076082525,1.432177810006767,1.0815381892322313,1.471666,10.07,16.01,28.06,-6.8856660000000005,init,0,False,1.0,0.9517671679900439
