algo,seed,evaluation,timestamp,t_env_ms,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,phase,generation,valid,rank,crowding_distance
GA,42,1,1757827138.9439518,5603.003042051569,4.960751042455652,0.3007046634551497,1.4045739070527623,0.9682366394136891,0.5241136633244745,1.56715,7.11,15.03,51.24,-8.90515,init,0,False,7.0,0.5743384952731259
GA,42,2,1757827144.481013,5536.735749919899,3.7107510424556516,0.23403799678848297,1.5104180628969184,1.1468080679851178,0.8741136633244746,1.678899,6.63,11.59,19.96,-5.496899,init,0,False,1.0,0.3725278406731971
GA,42,3,1757827149.981914,5500.718166935258,4.335751042455652,0.33774170049218666,2.25197650445536,1.9610937822708325,1.5741136633244752,1.867717,4.5,5.94,9.39,-3.8507170000000004,init,0,False,1.0,0.29453290117792563
GA,42,4,1757827155.4727418,5490.63533404842,3.0857510424556516,0.27107503382552,1.6578206602995154,1.4396652108422605,1.2241136633244745,1.531016,10.76,14.28,19.75,-6.010016,init,0,False,7.0,0.29648368633006644
GA,42,5,1757827160.949722,5476.549583021551,5.351376042455652,0.20440836715885335,2.363015465494321,2.2539509251279752,1.924113663324475,-20.746632,1.78,1.86,2.18,-10.0,init,0,False,8.0,inf
GA,42,6,1757827166.4842088,5534.2340000206605,4.101376042455652,0.38218614493663117,1.074314166793022,0.8925223536994035,0.7341136633244745,1.280741,28.85,41.77,61.71,-14.513741000000003,init,0,False,1.0,inf
GA,42,7,1757827171.993561,5508.990125032142,4.726376042455652,0.3155194782699645,1.6662436658653785,1.1935427618626688,1.0841136633244746,1.711904,6.06,11.99,14.54,-4.970904000000001,init,0,False,3.0,0.23758845784369903
GA,42,8,1757827177.489216,5495.302292052656,3.4763760424556516,0.2488528116032978,2.490918990540704,2.2363999047198124,1.7841136633244752,2.195416,3.29,3.91,6.08,-3.523416,init,0,False,2.0,2.191099848986969
GA,42,9,1757827182.984324,5494.9143750127405,5.038876042455652,0.3599639227144089,2.042217691839405,1.7149713332912409,1.434113663324475,1.873405,4.59,6.59,9.51,-3.942405,init,0,False,2.0,3.547476107588188
GA,42,10,1757827188.467366,5482.660082983784,3.7888760424556516,0.29329725604774226,2.922619108604458,2.529257047576955,2.134113663324475,2.300105,2.94,3.63,4.93,-3.4501049999999998,init,0,False,2.0,inf
GA,42,11,1757827194.005257,5537.506166030653,4.413876042455652,0.22663058938107558,1.1666450826304315,1.0278284761483831,0.8041136633244745,1.823227,7.41,9.56,15.63,-5.083227,init,0,False,2.0,inf
GA,42,12,1757827200.180407,6174.7378329746425,3.1638760424556516,0.35255651530700155,1.9218398878252367,1.4921141904340973,1.1541136633244746,1.372464,12.89,21.39,35.73,-8.373463999999998,init,0,False,7.0,0.3278076073149785
