algo,seed,evaluation,timestamp,t_env_ms,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,phase,generation,valid,rank,crowding_distance
GA,346,1,1757840065.280108,5581.100250012241,3.3302124544165834,0.3860629155990416,2.0113715445001015,1.7195420555116967,1.5532120449523834,1.439518,12.74,17.43,21.36,-6.592518,init,0,False,3.0,0.6155424067315529
GA,346,2,1757840070.7881558,5507.655749912374,4.580212454416583,0.2749518044879305,2.1335793367078937,1.8781134840831253,1.4832120449523833,2.251461,3.19,3.9,6.19,-3.5794610000000002,init,0,False,2.0,0.3352959110417838
GA,346,3,1757840076.282927,5494.47254196275,3.955212454416583,0.20828513782126382,2.590165607579879,2.480154300409656,2.1832120449523833,-1.713652,2.24,2.34,2.66,-10.0,init,0,False,3.0,1.1061940139063322
GA,346,4,1757840081.781541,5498.212457983755,5.205212454416584,0.34161847115459715,1.0551006725149434,0.9087257289810842,0.783212044952383,1.530974,14.84,20.0,26.92,-7.706974000000001,init,0,False,2.0,inf
GA,346,5,1757840087.280561,5498.663750011474,3.0177124544165834,0.2971740267101527,1.8206850880993586,1.6015828718382266,1.1332120449523826,1.451582,11.21,14.5,28.95,-6.917582,init,0,False,3.0,0.4004963465485424
GA,346,6,1757840092.7705832,5489.720333949663,4.267712454416583,0.23050736004348604,2.4276508496105755,2.073011443266799,1.8332120449523834,2.178831,2.45,2.88,3.42,-3.053831,init,0,False,3.0,inf
GA,346,7,1757840098.262542,5491.683291969821,3.642712454416583,0.36384069337681935,2.124663836623562,1.6972971575525124,1.3432120449523828,1.515545,8.47,13.28,21.2,-5.810545000000001,init,0,False,1.0,0.24974745277157415
GA,346,8,1757840103.752191,5489.380583050661,4.892712454416583,0.31198884152496753,2.3986898106495365,2.2258685861239416,2.043212044952383,2.260626,2.96,3.28,3.75,-3.259626,init,0,False,2.0,inf
GA,346,9,1757840109.266764,5514.3472499912605,3.4864624544165834,0.24532217485830085,1.445443057402783,1.0544400146953699,0.6432120449523829,1.498308,9.08,17.08,45.85,-8.699308,init,0,False,1.0,0.49605814382707525
GA,346,10,1757840114.779281,5512.1414579916745,4.736462454416583,0.3786555081916342,1.6329198663081628,1.3146440963280226,0.9932120449523827,1.538004,9.19,14.18,24.84,-6.359004,init,0,False,2.0,1.5180733745886568
GA,346,11,1757840120.327574,5547.923875041306,4.111462454416583,0.2675443970805231,2.3069458403341376,1.8432155248994517,1.6932120449523833,2.248451,3.21,4.67,5.54,-3.5904510000000003,init,0,False,2.0,1.52818909572021
GA,346,12,1757840125.8108191,5483.006042079069,5.361462454416584,0.20087773041385643,2.047984801373098,1.7660726677565939,1.2732120449523827,2.885795,2.01,2.33,3.41,-3.660795,init,0,False,3.0,inf
GA,346,13,1757840131.311357,5500.318750040606,3.1739624544165834,0.33421106374718973,2.483049736438034,2.2375012391851663,1.9732120449523833,1.66569,6.85,8.49,10.92,-4.29169,init,0,False,1.0,2.154615129854906
GA,346,14,1757840136.7845829,5472.920625004917,4.423962454416583,0.2897666193027453,1.051880905269202,0.9517869534708799,0.5732120449523829,1.474161,14.87,18.16,50.02,-9.779161000000002,init,0,False,2.0,inf
GA,346,15,1757840142.2971818,5512.311000027694,3.798962454416583,0.22309995263607865,1.2668159702042672,1.1303583820423087,0.923212044952383,1.72793,8.24,10.35,15.52,-5.13893,init,0,False,2.0,2.377290094216833
GA,346,16,1757840147.8163562,5518.958166940138,5.048962454416584,0.35643328596941193,2.2681146715029685,2.0589298106137375,1.6232120449523835,2.074311,3.73,4.42,7.23,-3.612311,init,0,False,1.0,0.5647849597662467
GA,346,17,1757840153.3153331,5497.367625008337,3.0174388407408643,0.21067012626784887,1.4897003800064499,1.3847011461092986,1.086663696928252,1.669089,8.42,9.74,15.83,-5.0680890000000005,generation,1,False,,
GA,346,18,1757840158.8110652,5495.466458029114,3.9473444635880828,0.2943272407959702,2.8923113085297008,2.6705234586486846,2.204082649907386,2.352887,2.85,3.16,4.31,-3.384887,generation,1,False,,
GA,346,19,1757840164.2963252,5485.056749894284,4.267712454416583,0.2403451158212573,2.4564380507470474,2.101798644403271,1.8332120449523834,2.336231,2.52,2.99,3.65,-3.252231,generation,1,False,,
GA,346,20,1757840170.0174441,5720.699459081516,4.267712454416583,0.23050736004348604,2.4191221606455855,2.0652873367572644,1.8332120449523834,2.175609,2.46,2.9,3.42,-3.0536090000000002,generation,1,False,,
GA,346,21,1757840175.542591,5524.764708941802,4.2613995188864005,0.2304823680727044,2.1974673344665465,2.0223807058904533,1.8439287832965903,2.096695,2.71,2.98,3.4,-3.0056950000000002,generation,1,False,1.0,inf
GA,346,22,1757840181.171155,5628.347542020492,4.915221818778171,0.31459691869432294,2.62032693076306,2.277365688163071,2.038748977080757,2.312726,2.69,3.19,3.79,-3.279726,generation,1,False,,
GA,346,23,1757840186.650522,5479.16595893912,3.48773669136511,0.2467317289300031,1.040268100847353,0.8230989399741551,0.6315455451633107,1.420397,17.73,28.32,48.07,-10.832397,generation,1,False,3.0,0.5518941924454933
GA,346,24,1757840192.128787,5478.025750024244,4.827841297537958,0.31072320980269413,2.8320736837749902,2.4450376039588857,2.0384941012124074,2.37606,2.5,2.92,3.82,-3.3000599999999998,generation,1,False,,
GA,346,25,1757840197.627885,5498.691790970042,3.330973013252546,0.20077700474355178,1.3003163545048102,1.0265265812299393,0.6158484686754184,1.59245,8.24,13.22,36.72,-7.410450000000001,generation,1,False,3.0,0.3890322585075129
GA,346,26,1757840203.150122,5521.8725830782205,5.36615129976715,0.24646409531189498,2.1308829177447937,1.7360447024338048,1.250605976158397,2.700252,2.37,2.94,5.05,-3.736252,generation,1,False,3.0,inf
GA,346,27,1757840208.656351,5505.99933299236,3.1219344502254858,0.33421106374718973,2.6962048251648385,2.450656327911971,2.186367133679188,1.743884,5.94,7.3,9.19,-3.986884,generation,1,False,3.0,0.5605540922662406
GA,346,28,1757840214.146932,5490.366958081722,3.1739624544165834,0.33421106374718973,2.483049736438034,2.2375012391851663,1.9732120449523833,1.66569,6.85,8.49,10.92,-4.29169,generation,1,False,1.0,0.4571977208900502
GA,346,29,1757840219.643741,5496.432875050232,3.798962454416583,0.24151365685160242,1.2668159702042672,1.1303583820423087,0.923212044952383,1.651964,9.65,12.13,18.18,-5.647964,generation,1,False,1.0,0.6119568601973943
GA,346,30,1757840225.234174,5590.114917024039,3.798962454416583,0.22564591304631396,1.2668159702042672,1.1303583820423087,0.923212044952383,1.716246,8.43,10.58,15.87,-5.2042459999999995,generation,1,False,,
GA,346,31,1757840230.719577,5485.166499973275,5.048962454416584,0.35643328596941193,2.2996512655123365,2.0904664046231054,1.6547486389617512,2.101641,3.65,4.3,6.94,-3.5906409999999997,generation,1,False,,
GA,346,32,1757840236.228766,5508.979292004369,5.048962454416584,0.35643328596941193,2.28922202530514,2.0589298106137375,1.6232120449523835,2.077369,3.68,4.42,7.23,-3.6103690000000004,generation,1,False,1.0,0.18930183299966527
GA,346,33,1757840241.7183208,5487.318000057712,4.2613995188864005,0.2285857131824261,2.1974673344665465,2.0223807058904533,1.8439287832965903,2.050173,2.69,2.95,3.35,-2.949173,generation,2,False,,
GA,346,34,1757840247.1951418,5476.511750021018,4.2613995188864005,0.2304823680727044,2.2152562752107285,2.0401696466346353,1.8439287832965903,2.103088,2.69,2.95,3.4,-3.0070880000000004,generation,2,False,,
GA,346,35,1757840252.7112498,5515.833958052099,4.2613995188864005,0.2254049404975395,2.1974673344665465,2.0223807058904533,1.8439287832965903,1.958603,2.65,2.9,3.28,-2.841603,generation,2,False,3.0,inf
GA,346,36,1757840258.246249,5534.68541696202,3.0619462195791693,0.24261297590962985,0.9246815302282857,0.7098294361581399,0.5182760413472955,1.296838,28.15,47.74,89.53,-17.838838000000003,generation,2,False,3.0,inf
GA,346,37,1757840263.7390661,5492.553082993254,3.6362198346793835,0.2539305488629529,1.014633791713104,0.7880121500845961,0.6138565879233842,1.417414,18.16,30.11,49.58,-11.202414000000001,generation,2,False,3.0,1.4058290416250996
GA,346,38,1757840269.210119,5470.831333077513,5.384745543041654,0.25219488536723395,2.1549147837543607,1.7543156033985685,1.268066209000711,2.665406,2.39,2.97,5.11,-3.712406,generation,2,False,,
GA,346,39,1757840274.8641121,5653.543957974762,5.289917934214805,0.24646409531189498,2.1308829177447937,1.7360447024338048,1.250605976158397,2.660332,2.41,2.99,5.2,-3.720332,generation,2,False,3.0,0.4928623468502018
GA,346,40,1757840280.4015648,5537.079124944285,5.36615129976715,0.24696348875962787,2.25298940511704,1.858151189806051,1.3727124635306431,2.774751,2.25,2.73,4.24,-3.6967510000000003,generation,2,False,2.0,inf
GA,346,41,1757840285.899799,5497.969084070064,3.1326360679221477,0.33467809475479604,2.0639959122821327,1.8191483262166834,1.656577477557734,1.525024,10.27,13.22,15.95,-5.469024,generation,2,False,,
GA,346,42,1757840291.450272,5550.206459010951,3.331928360388015,0.3994476903716015,2.728738600055263,2.4370738339746545,2.172858850548034,1.613099,7.38,9.27,11.67,-4.445099000000001,generation,2,False,,
GA,346,43,1757840297.0513122,5600.745957926847,3.955212454416583,0.20757368127783235,2.590165607579879,2.480154300409656,2.1832120449523833,-1.858326,2.23,2.33,2.65,-10.0,generation,2,False,6.0,inf
GA,346,44,1757840302.5517728,5500.211750040762,3.784119108005738,0.21003439883954333,2.579707191562392,2.469695884392169,2.1727536289348963,0.171399,2.37,2.47,2.82,-0.937399,generation,2,False,2.0,inf
GA,346,45,1757840308.1024609,5550.345583003946,3.024972981282972,0.2152379045530362,1.54823671441093,1.4380655515035212,1.1464491505216046,1.680291,8.1,9.38,14.77,-4.905291,generation,2,False,,
GA,346,46,1757840313.6210592,5518.2193329092115,4.005099786224226,0.2962497379431561,2.9320161012947015,2.7195485260700103,2.2449557602406105,2.352392,2.78,3.05,4.11,-3.3463920000000003,generation,2,False,,
GA,346,47,1757840319.129408,5508.095541968942,3.017667229703145,0.2288383306143964,1.5920069210125813,1.370627030053529,1.1359338498452822,1.618627,8.7,11.73,17.09,-5.370627,generation,2,False,,
GA,346,48,1757840324.667979,5538.178000017069,4.2214916513518554,0.2984031538007959,2.6662967749318294,2.3233156622664874,1.8545709215540578,2.289605,2.95,3.6,5.45,-3.489605,generation,2,False,,
GA,346,49,1757840330.212821,5542.5565839977935,3.0678330695326963,0.24179388442881883,0.9132824169305371,0.6985741363361254,0.5242689175991694,1.298534,28.55,48.77,86.56,-17.686534,generation,3,False,,
GA,346,50,1757840335.98836,5775.265624979511,3.6202976742772393,0.25698232116848435,1.0492339081018072,0.805382157949597,0.6135996538998224,1.412957,17.55,29.78,51.27,-11.272957,generation,3,False,,
GA,346,51,1757840341.5131462,5524.411916034296,5.292953095171058,0.24643216944626906,2.131847680437899,1.73700946512691,1.251570738851502,2.663295,2.4,2.99,5.18,-3.720295,generation,3,False,,
GA,346,52,1757840347.0085409,5495.076209073886,5.36627417559869,0.24073537781852877,2.2475724517077316,1.8527342363967427,1.3672955101213349,2.819812,2.2,2.67,4.08,-3.7148120000000002,generation,3,False,0.0,inf
GA,346,53,1757840352.5135832,5504.732625093311,5.36615129976715,0.2592744044900983,2.25298940511704,1.858151189806051,1.3727124635306431,2.672293,2.36,2.88,4.65,-3.6612929999999997,generation,3,False,2.0,inf
GA,346,54,1757840358.019736,5505.867416970432,5.36615129976715,0.24036189872355107,2.25298940511704,1.858151189806051,1.3727124635306431,2.821475,2.19,2.65,4.04,-3.709475,generation,3,False,3.0,0.3824700714967056
GA,346,55,1757840363.509511,5489.3730418989435,3.1252594230775226,0.2035302340764297,2.528050065862523,2.4264800499830024,2.1739047533134817,2.122332,2.85,2.99,3.51,-3.057332,generation,3,False,,
GA,346,56,1757840368.9837031,5473.949916078709,3.8431451028036006,0.331857076152048,2.7268478596190127,2.4851003807166663,2.187077156483802,2.107709,3.84,4.54,5.87,-3.5327089999999997,generation,3,False,,
GA,346,57,1757840374.545542,5561.6229170700535,3.3412904539309145,0.39122886180100747,2.0113715445001015,1.7195420555116967,1.5532120449523834,1.432907,12.99,17.78,21.79,-6.688907,generation,3,False,,
GA,346,58,1757840380.4223309,5876.368958037347,3.3302124544165834,0.3860629155990416,2.0113715445001015,1.7195420555116967,1.5532120449523834,1.439518,12.74,17.43,21.36,-6.592518,generation,3,False,,
GA,346,59,1757840385.94725,5524.549750029109,3.955212454416583,0.20828513782126382,2.590165607579879,2.480154300409656,2.1832120449523833,-1.713652,2.24,2.34,2.66,-10.0,generation,3,False,3.0,inf
GA,346,60,1757840391.442704,5495.245917001739,3.9177427541398013,0.20585009549528172,2.6109984383322273,2.500987131162004,2.1832120449523833,-1.786521,2.21,2.31,2.65,-10.0,generation,3,False,6.0,inf
GA,346,61,1757840396.946292,5503.375957952812,3.955212454416583,0.20828513782126382,2.564510558708457,2.456990904828755,2.1832120449523833,-1.737248,2.26,2.36,2.66,-10.0,generation,3,False,3.0,inf
GA,346,62,1757840402.493771,5547.016209107824,4.267712454416583,0.22881447765814378,2.4585689320498703,2.073011443266799,1.8332120449523834,2.147413,2.4,2.86,3.38,-3.011413,generation,3,False,3.0,inf
GA,346,63,1757840408.04214,5548.014165950008,5.361462454416584,0.20087773041385643,2.047984801373098,1.7660726677565939,1.2732120449523827,2.885795,2.01,2.33,3.41,-3.660795,generation,3,False,3.0,inf
GA,346,64,1757840413.522919,5480.512334033847,5.361462454416584,0.20035999063739307,2.047984801373098,1.7660726677565939,1.2732120449523827,2.876354,2.01,2.33,3.4,-3.650354,generation,3,False,2.0,inf
GA,346,65,1757840419.012682,5483.172167092562,5.36627417559869,0.24073537781852877,2.2274096460599004,1.835388229680993,1.349949503405585,2.818869,2.22,2.69,4.18,-3.727869,generation,4,False,,
GA,346,66,1757840424.497934,5485.031209071167,5.467635195436744,0.24073537781852877,2.2475724517077316,1.8527342363967427,1.3672955101213349,2.847198,2.16,2.62,3.95,-3.7201980000000003,generation,4,False,3.0,1.908835514688998
GA,346,67,1757840430.053451,5555.124958977103,5.36627417559869,0.24073537781852877,2.2475724517077316,1.8527342363967427,1.3672955101213349,2.819812,2.2,2.67,4.08,-3.7148120000000002,generation,4,False,,
