algo,seed,evaluation,timestamp,wall_time_s,t_env_ms,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,rank,cd_raw,cd_tilde,phase,loss_critic,loss_actor,alpha,update_time_ms,loss_critic1,loss_critic2
SAC,584,1,1757767986.839413,5.48227333300747,5477.521667024121,3.88206460772557,0.22369234285821304,1.1741794587748846,1.001045803885292,0.5922094451372379,1.605417,9.23,12.7,36.29,1.0,1,inf,1.0,interaction,,,,,,
SAC,584,2,1757767992.304467,5.464976208051667,5459.747583023272,3.821735986878541,0.20880133252163294,1.4652891803610968,1.0738574515030885,0.8888721110739871,1.824762,5.21,9.92,14.49,1.0,1,inf,1.0,interaction,,,,,,
SAC,584,3,1757767997.860659,5.55609737499617,5547.712375060655,4.051170424916181,0.32570279580873884,1.7595297331952235,1.6467244990312997,1.4300480909256872,1.684304,8.0,9.14,12.12,1.0,1,inf,1.0,interaction,,,,,,
SAC,584,4,1757768003.396226,5.5354922919068485,5531.630790908821,4.657350654680319,0.2751993555977897,2.113493726910984,1.8734111977029153,1.4468755613221385,2.254177,3.16,3.82,6.31,1.0,1,inf,1.0,interaction,,,,,,
SAC,584,5,1757768008.889432,5.493126624962315,5488.4559160564095,5.270140046476293,0.20674768110519914,1.2214787705152605,0.9270179873899979,0.5192371682355169,2.191235,3.93,6.82,21.89,0.9999999999999275,1,2.3258782225753882,0.99999999999957,interaction,,,,,,
SAC,584,6,1757768014.423541,5.534037042059936,5480.30550009571,3.0295522236548758,0.3999736699550747,2.825651116312387,2.706767357700976,2.2479473601401994,1.566376,8.37,9.12,13.22,1.0,1,inf,1.0,interaction,,,,,,
SAC,584,7,1757768019.95631,5.532694999943487,5503.919375012629,3.232458500603541,0.3999969956640458,2.7665848599328364,2.6487766981651344,2.222922074985479,1.610357,7.66,8.36,11.88,0.9999999999999065,1,1.8027621287357012,0.9999999999994452,interaction,,,,,,
SAC,584,8,1757768025.480205,5.523817999986932,5494.299832964316,3.06313420032372,0.399975316323902,2.6777556790565247,2.563269675866999,2.202041837136208,1.549928,9.11,9.95,13.48,1.0,1,inf,1.0,interaction,,,,,,
SAC,584,9,1757768031.0016909,5.521414667018689,5489.705624990165,3.1003801901268826,0.3999903804147472,2.7479802324741116,2.6406196645414606,2.2210431914378113,1.571772,8.45,9.15,12.94,0.8634496630788712,1,0.4033340826041137,0.19007170398301232,interaction,,,,,,
SAC,584,10,1757768036.506498,5.504734333022498,5476.545125013217,3.035952680132074,0.39999575414277594,2.7204646616477692,2.6111985656519283,2.2197776445095787,1.551257,8.99,9.76,13.51,0.8584987206612893,1,0.32471819188676,0.16070591517308497,interaction,,,,,,
