algo,seed,evaluation,timestamp,wall_time_s,t_env_ms,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,rank,cd_raw,cd_tilde,phase,loss_critic,loss_actor,alpha,update_time_ms,loss_critic1,loss_critic2
SAC,295,1,1757732869.547306,5.557043125038035,5552.920874906704,4.55538334306549,0.26631407141068475,2.4555373121732944,2.0677227743415565,1.779687781236041,2.437673,2.62,3.22,4.09,1.0,1,inf,1.0,interaction,,,,,,
SAC,295,2,1757732875.039721,5.492467083968222,5487.9447089042515,4.5816626257958255,0.3675034735873427,2.539670373443613,2.2744692403113147,1.9779895101456417,2.097108,3.82,4.66,6.22,1.0,1,inf,1.0,interaction,,,,,,
SAC,295,3,1757732880.5218701,5.4821979170665145,5476.703459047712,4.329664997136424,0.21870626117223305,1.2900228041034638,0.8327150787362332,0.5306652059903072,1.7341,5.77,14.11,34.73,1.0,1,inf,1.0,interaction,,,,,,
SAC,295,4,1757732885.9952261,5.4734087500255555,5469.639666960575,4.90417812604064,0.2895601861057272,2.4271127386778963,1.989106557055393,1.8140446186624382,2.401753,2.68,3.46,4.03,1.0,1,inf,1.0,interaction,,,,,,
SAC,295,5,1757732891.466815,5.471646791091189,5467.97658293508,5.106536668495467,0.2186409377087621,1.4315967854629297,1.2571768290488703,1.0308014098766345,2.483098,3.5,4.37,6.55,0.4,2,0.0,0.0,interaction,,,,,,
SAC,295,6,1757732896.9404511,5.473691542050801,5467.971000005491,5.035814151375654,0.2746754386639124,1.1139258389643791,0.9769251764324024,0.5480313302927293,1.634411,9.19,11.95,37.96,1.0,1,inf,1.0,interaction,,,,,,
SAC,295,7,1757732902.455511,5.51511074998416,5509.351999964565,5.09067471686072,0.35421660523041015,1.6906552308908973,1.4723416256971684,1.116245186830541,1.715394,6.42,8.56,14.9,0.9999999999999072,1,2.1543340013113403,0.9999999999995358,interaction,,,,,,
SAC,295,8,1757732907.928662,5.473207207978703,5469.206833979115,5.14739983404975,0.24275538048145204,1.9395920928380315,1.7958959636970153,1.6387325169211797,2.087063,2.68,2.91,3.3,1.0,1,inf,1.0,interaction,,,,,,
SAC,295,9,1757732913.392351,5.4637478339718655,5459.292625077069,5.360609280003525,0.3688199768434066,1.450405189695303,1.2292612450971236,1.0195807282605294,1.642772,8.62,12.01,17.46,0.9503379500983752,1,1.2874174586661546,0.751689750491876,interaction,,,,,,
SAC,295,10,1757732918.885292,5.49297799996566,5485.526790958829,4.410891372513188,0.34388616201457534,2.8753582886557423,2.69611879075953,2.245831032319775,2.317333,3.03,3.32,4.53,0.4,2,0.0,0.0,interaction,,,,,,
SAC,295,11,1757732924.4728901,5.587657457916066,5533.821208984591,3.2687353103237737,0.26141381362415933,3.170351772406878,2.684985104617847,2.229632159784952,2.321643,2.78,3.48,4.82,0.4,2,0.0,0.0,interaction,,,,,,
SAC,295,12,1757732929.968585,5.495753000024706,5468.339583021589,5.282705179692625,0.21178867716248828,2.301294827346794,2.0562455296556807,1.5707702413781273,0.925441,1.92,2.15,2.82,1.0,1,inf,1.0,interaction,,,,,,
SAC,295,13,1757732935.475473,5.5069461250677705,5479.107666993514,3.8557067784289414,0.212634774679199,2.5810611140740747,2.1524182796576885,1.6586028931754382,2.561771,2.35,2.83,4.18,0.4,2,0.0,0.0,interaction,,,,,,
SAC,295,14,1757732940.9675882,5.492168250028044,5463.614833075553,5.387084573619079,0.21500963163455214,1.3151276689885112,0.9565745544265625,0.8067305322640727,2.355671,3.58,6.62,9.38,0.2,4,0.0,0.0,interaction,,,,,,
SAC,295,15,1757732946.4876318,5.520101374946535,5492.419834015891,4.433702783617211,0.20228365624785413,2.3981164703825213,1.9904580217942454,1.490458055585305,2.727612,2.09,2.52,3.63,0.4,2,0.0,0.0,interaction,,,,,,
SAC,295,16,1757732952.0663722,5.578802624950185,5485.976457945071,3.0480750856531467,0.22331994464973795,2.531803028568051,2.2038878295223747,2.100542758591433,2.277776,3.33,4.18,4.57,0.26666666666666666,3,0.0,0.0,interaction,69.84411383567998,6.746778983113433,1.0001000039100587,65.95149997156113,74.28568543679424,65.40254223456571
SAC,295,17,1757732957.665602,5.599264957942069,5522.146667004563,3.757491168755465,0.20857856865973218,2.6685166235247095,2.1748839472550507,1.6859252021352007,2.565435,2.29,2.82,4.11,0.4,2,0.0,0.0,interaction,73.41324189273998,3.881704051237594,1.0000507498847222,45.31641700305045,77.60018020348122,69.22630358199874
SAC,295,18,1757732963.221854,5.556306499987841,5484.995165956207,4.881728069614315,0.21452562816141832,2.6771165754388946,2.345418385389283,2.2182322624990576,-21.39519,1.81,2.06,2.18,1.0,1,inf,1.0,interaction,50.744379057973916,4.3062159362509185,0.9999802590297686,41.41458298545331,53.72309543469417,47.76566268125366
SAC,295,19,1757732968.749456,5.527660000021569,5459.1506669530645,5.499360383460928,0.2007157885754387,1.5126511573726678,1.0391334618864247,0.5403445394546524,2.380675,2.66,4.63,17.49,0.26666666666666666,3,0.0,0.0,interaction,32.36166687628919,4.519840867167664,0.9999007195372949,38.7666670139879,34.553515662334604,30.169818090243787
SAC,295,20,1757732974.491585,5.742172708967701,5667.378290905617,5.060904494684072,0.2008223367447237,1.3852464251573133,0.9527903469833164,0.7916665213333893,2.372727,3.28,6.59,9.63,0.16000000000000003,5,0.0,0.0,interaction,22.043231278169678,5.687425596502953,0.999821921977021,44.799083028919995,21.937009957058613,22.149452599280746
SAC,295,21,1757732980.087716,5.596191833959892,5521.886290982366,5.001777356280855,0.20681401371869979,2.2058281111933846,1.738071134568013,1.2669282613012982,2.982263,2.06,2.62,4.05,0.26666666666666666,3,0.0,0.0,interaction,38.88661035124048,3.9624749183571844,0.9997362897047395,41.544375009834766,41.0584750147422,36.71474568773876
SAC,295,22,1757732985.648515,5.560859207995236,5489.570833044127,3.5107688346218104,0.24251387915292483,2.9290759923413714,2.4966457111449416,2.0230087636464438,2.414875,2.6,3.12,4.39,0.26666666666666666,3,0.0,0.0,interaction,20.437412120911063,1.2715733923681878,0.9996490971276483,43.05870796088129,21.574934957996238,19.29988928382589
SAC,295,23,1757732991.197632,5.549178500077687,5483.5627500433475,3.747237486807619,0.24737747498377594,2.8592014644752055,2.667243002206009,2.199331271324584,2.211032,2.54,2.73,3.52,0.26666666666666666,3,0.0,0.0,interaction,12.515748957050409,0.9824239453816535,0.9995582276982014,40.634750039316714,12.675682129626802,12.355815784474014
