algo,seed,evaluation,timestamp,wall_time_s,t_env_ms,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,rank,cd_raw,cd_tilde,phase,loss_critic,loss_actor,alpha,update_time_ms,loss_critic1,loss_critic2
SAC,346,1,1757739000.4152498,5.484885207959451,5480.262374971062,4.484048825390388,0.20182045094643122,1.5824811966195216,1.1021996375373766,0.8248171607194645,2.179435,3.24,6.31,11.41,1.0,1,inf,1.0,interaction,,,,,,
SAC,346,2,1757739005.918338,5.503057624911889,5499.347874894738,4.670522096598831,0.20366766791575838,2.1192444517510873,1.8433867300373386,1.6079805149529909,1.634059,2.26,2.6,3.03,1.0,1,inf,1.0,interaction,,,,,,
SAC,346,3,1757739011.411571,5.493204916012473,5489.600041997619,3.102788221839281,0.39185568292962414,1.565538159828395,1.1341621465733085,0.9421986555053536,1.223802,24.95,47.5,68.81,1.0,1,inf,1.0,interaction,,,,,,
SAC,346,4,1757739017.0171452,5.605528417043388,5597.330457996577,3.364767116569652,0.3113767619401383,2.1010928216395772,1.8063970746392088,1.6263271607377157,1.643539,7.42,10.06,12.41,0.3765438370721852,2,0.0,0.0,interaction,,,,,,
SAC,346,5,1757739023.429694,6.412485416047275,6397.049165912904,5.16370910033439,0.29792364513952513,2.1100539183901197,1.66044426305535,1.2984652598513062,2.165416,3.07,4.54,7.56,0.3765438370721852,2,0.0,0.0,interaction,,,,,,
SAC,346,6,1757739029.096572,5.666836165939458,5661.60808398854,3.2844914787427673,0.2564624316279542,1.8877401864581749,1.426413888385595,1.1813983475558432,1.642087,6.49,11.49,16.75,0.3765438370721852,2,0.0,0.0,interaction,,,,,,
SAC,346,7,1757739034.594094,5.497487957938574,5492.849416914396,5.061514811307915,0.25626626349945614,1.5082252837522256,1.107979435746595,0.842456527766544,1.935068,4.25,8.0,13.85,0.3765438370721852,2,0.0,0.0,interaction,,,,,,
SAC,346,8,1757739040.119961,5.525816792040132,5515.188209014013,5.136761058414019,0.36525661001637133,1.3817015425468955,1.203378234213333,0.7823670280656195,1.536914,10.15,13.39,31.67,0.9999999999999383,1,3.999999999997481,0.99999999999975,interaction,,,,,,
SAC,346,9,1757739045.674916,5.554923958028667,5551.036791992374,3.556015085027615,0.34291815284201527,1.0887551925913235,0.9097836216507543,0.6557722394077266,1.252127,30.08,43.05,82.82,1.0,1,inf,1.0,interaction,,,,,,
SAC,346,10,1757739051.206947,5.532002041931264,5528.128749923781,4.386605386731034,0.35767808025481584,2.4098077673175764,1.9332602646898693,1.567480453974044,1.816604,4.32,6.77,10.37,0.3765438370721852,2,0.0,0.0,interaction,,,,,,
SAC,346,11,1757739056.8476899,5.640710125095211,5495.67695800215,3.247661292970001,0.3999945599651329,1.1195538304443133,0.9544039738776136,0.515671930244044,1.104217,46.37,63.78,212.25,1.0,1,inf,1.0,interaction,,,,,,
SAC,346,12,1757739062.3798158,5.532097417046316,5505.536749958992,3.0,0.4,1.1000000009463107,0.9999999990073121,0.5,1.082353,56.28,68.09,252.25,1.0,1,inf,1.0,interaction,,,,,,
SAC,346,13,1757739068.0670578,5.6872089999960735,5659.302165964618,3.000000000000151,0.4,1.100000000652781,0.9999999999963787,0.5,1.082353,56.28,68.09,252.25,1.0,1,inf,1.0,interaction,,,,,,
SAC,346,14,1757739073.578036,5.510946917114779,5474.449959001504,3.0,0.4,1.1000000006527813,0.9999999999963787,0.5,1.082353,56.28,68.09,252.25,1.0,1,inf,1.0,interaction,,,,,,
SAC,346,15,1757739079.082602,5.504537833039649,5473.778540967032,3.0,0.4,1.1000000006527804,0.9999999999963787,0.5,1.082353,56.28,68.09,252.25,1.0,1,inf,1.0,interaction,,,,,,
SAC,346,16,1757739084.6635609,5.580928916926496,5472.370625007898,3.0,0.4,1.1000000006527815,0.9999999999963787,0.5,1.082353,56.28,68.09,252.25,1.0,1,inf,1.0,interaction,3577.709058809329,65.40586109592189,1.000120577718485,79.11100005730987,3062.5476373387473,4092.87048027991
SAC,346,17,1757739090.28609,5.622477708035149,5477.11741598323,3.0,0.4,1.1000000007651125,0.9999999999818743,0.5,1.082353,56.28,68.09,252.25,1.0,1,inf,1.0,interaction,3325.996765777226,66.0524670265118,1.0002411410304684,114.13241701666266,2835.02884987779,3816.964681676662
SAC,346,18,1757739095.886239,5.600120792048983,5524.144208058715,3.000000000000002,0.4,1.1000000011503512,0.9999999999240459,0.5,1.082353,56.28,68.09,252.25,1.0,1,inf,1.0,interaction,3137.2765892662483,67.06901460725625,1.0003616536152,39.557249983772635,2648.183437164708,3626.369741367789
SAC,346,19,1757739101.4394429,5.5531778750009835,5491.065916023217,3.0,0.4,1.1000000014513849,0.9999999996903779,0.5,1.082353,56.28,68.09,252.25,1.0,1,inf,1.0,interaction,3272.139370516777,73.91239923917678,1.0004824601557745,36.12587496172637,2735.152946713355,3809.125794320199
SAC,346,20,1757739106.982432,5.54295854200609,5477.482959046029,3.0000000046783324,0.4,1.1000000009207864,0.9999999987520755,0.5,1.082353,56.28,68.09,252.25,1.0,1,inf,1.0,interaction,3139.316310480241,92.6870468180633,1.000603947264302,37.04708395525813,2459.137113036718,3819.4955079237643
SAC,346,21,1757739112.51581,5.533349082921632,5468.396874959581,3.0,0.4,1.0999999972570396,0.9999999947899276,0.5,1.082353,56.28,68.09,252.25,1.0,1,inf,1.0,interaction,3394.834739054704,80.99759416870157,1.000725359631058,36.949874949641526,2815.3512992840315,3974.318178825377
SAC,346,22,1757739118.039287,5.523448250023648,5459.38820799347,3.0,0.4,1.0999999768341973,0.9999999739201706,0.5,1.082353,56.28,68.09,252.25,1.0,1,inf,1.0,interaction,3625.384395349234,100.59206367820647,1.000847578699671,38.28779200557619,2922.6580251506707,4328.110765547797
SAC,346,23,1757739123.605172,5.565858999965712,5498.163874959573,3.008027944953458,0.4,1.0999998286612207,0.9999998254968074,0.5,1.083002,55.98,67.72,251.27,0.8069402118727197,1,0.44939271335599607,0.2181038858296491,interaction,2681.9875635965545,87.7299080875485,1.0009697207677135,38.571499986574054,2145.2881711973114,3218.6869559957977
SAC,346,24,1757739129.149246,5.544043791014701,5473.56245899573,3.0000000000005773,0.4,1.0999985564181498,0.9999985519402097,0.5,1.082353,56.28,68.09,252.25,1.0,1,inf,1.0,interaction,2522.613316166787,95.86127791513408,1.0010919632847008,39.01637508533895,1904.3300706273137,3140.896561706261
SAC,346,25,1757739134.708952,5.5596787499962375,5489.8362919921055,4.3570351822957765,0.4,1.0999860714539382,0.9999860687880653,0.5,1.254008,26.71,32.31,129.23,0.967136430891172,1,1.5833921486031235,0.8669018689328477,interaction,2615.829828298901,109.43884040652338,1.0012149272607827,38.74770796392113,2014.2996186489897,3217.360037948812
SAC,346,26,1757739140.32933,5.620351165998727,5549.1497500333935,5.499555613009727,0.3999999999994264,1.0973858412981576,0.9973852896650302,0.5,1.398227,16.84,20.39,81.04,0.9353806310065182,1,1.131871046095418,0.7382902260162385,interaction,2456.4062998305576,98.08151133511596,1.001337394942414,39.363957941532135,1909.79469639576,3003.017903265355
SAC,346,27,1757739145.883832,5.554450583062135,5480.641625006683,3.000000001683472,0.39999999999998637,1.0715082527843038,0.9710591139419779,0.5000000000040962,1.081203,59.31,72.21,252.25,1.0,1,inf,1.0,interaction,1928.3735032051986,119.48250869392837,1.001460771221542,42.87300002761185,1390.356330400179,2466.390676010218
SAC,346,28,1757739151.488217,5.604357750038616,5530.462125083432,3.0000008614865683,0.4,1.407104325313493,0.9238748720900888,0.5,1.083376,34.42,79.77,252.25,1.0,1,inf,1.0,interaction,1864.2968461865098,93.5716813191927,1.0015830248397286,37.17508295085281,1492.119310938186,2236.474381434834
SAC,346,29,1757739157.073795,5.585546541027725,5516.82166592218,3.0000000000035465,0.4,0.7140437378050604,0.6140436928809047,0.5,1.106956,133.67,179.6,252.25,0.3765438370721852,2,0.0,0.0,interaction,969.5956778699866,105.30305427889226,1.001704818227934,38.59133296646178,586.1991688079981,1352.992186931975
SAC,346,30,1757739162.620481,5.546659625018947,5478.5544170299545,3.0,0.4,0.7000000860650728,0.6000000860650728,0.5,1.10953,139.1,187.32,252.25,0.2510292247147901,3,0.0,0.0,interaction,1312.5446452933063,119.0670417519103,1.0018271834261663,36.924874992109835,883.0895209589262,1741.9997696276864
SAC,346,31,1757739168.155265,5.534757875022478,5468.191917054355,3.0,0.4,0.700000006935606,0.6000000069356061,0.5,1.10953,139.1,187.32,252.25,0.2510292247147901,3,0.0,0.0,interaction,1308.5815902492056,112.80570409274101,1.0019497555931185,37.27158298715949,905.734368234636,1711.4288122637752
SAC,346,32,1757739173.7409348,5.585642541060224,5515.539790969342,3.0,0.4,0.7000000029055817,0.6000000029055769,0.5,1.10953,139.1,187.32,252.25,0.2510292247147901,3,0.0,0.0,interaction,1060.8340424877895,115.70917895908097,1.0020725300198972,39.42633396945894,658.7699879204584,1462.8980970551204
SAC,346,33,1757739179.279577,5.538610792020336,5465.459665982053,3.0,0.4,0.7000000021495292,0.6000000021495202,0.5,1.10953,139.1,187.32,252.25,0.2510292247147901,3,0.0,0.0,interaction,1282.9798405725371,107.35564263905425,1.0021949487620887,41.453166981227696,961.5719260595789,1604.3877550854954
SAC,346,34,1757739184.846464,5.56686024996452,5499.616958084516,3.0000000030875915,0.4,0.7000000024888161,0.6000000024888161,0.5,1.10953,139.1,187.32,252.25,0.2510292247147901,3,0.0,0.0,interaction,1180.4826335864673,134.84234199396337,1.0023183506828686,37.774833966977894,767.3112165492138,1593.6540506237207
