algo,seed,evaluation,timestamp,wall_time_s,t_env_ms,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,rank,cd_raw,cd_tilde,phase,loss_critic,loss_actor,alpha,update_time_ms,loss_critic1,loss_critic2
SAC,145,1,1757760183.1709802,5.577089249971323,5571.750791044906,3.7076048691663583,0.20040595991720198,1.9215606214719214,1.5606576000078654,1.4285131833778695,2.348532,3.19,4.51,5.37,1.0,1,inf,1.0,interaction,,,,,,
SAC,145,2,1757760188.710285,5.539300250005908,5531.076458049938,4.926847573824056,0.3196279158713451,1.7488645031637604,1.4507266950311015,1.0716962338618232,1.780623,5.15,7.66,14.05,1.0,1,inf,1.0,interaction,,,,,,
SAC,145,3,1757760194.254122,5.543847959022969,5537.759209051728,5.370558442920688,0.3145390755331826,1.0690552518253762,0.9416875781882368,0.8048100639729256,1.642125,11.51,14.83,20.31,1.0,1,inf,1.0,interaction,,,,,,
SAC,145,4,1757760199.72585,5.471741333021782,5467.185667017475,5.296623787825419,0.3314377780169596,1.8142546543679188,1.499577111566348,1.220570224591444,1.899518,4.47,6.62,10.07,0.9543898247200434,1,1.9257403318290454,0.7154965263655391,interaction,,,,,,
SAC,145,5,1757760205.204182,5.478336332947947,5472.758500021882,4.106409907999641,0.37579186131947,1.223170758953388,0.9810091080225365,0.6350138548848886,1.299337,21.46,33.36,79.54,1.0,1,inf,1.0,interaction,,,,,,
SAC,145,6,1757760210.7219892,5.5178192080929875,5513.607500004582,3.232577333164995,0.20717334760390593,2.161626585373111,1.9519251027173836,1.7714155471974742,2.299782,3.45,4.09,4.9,1.0,1,inf,1.0,interaction,,,,,,
SAC,145,7,1757760216.2132869,5.4913124579470605,5487.489375052974,3.208943713500916,0.29093934650852626,2.6968629044914882,2.256102445483737,2.1033034469914553,1.953185,4.27,6.1,7.1,0.869219870456024,1,0.5723818972907379,0.1842302532440218,interaction,,,,,,
SAC,145,8,1757760221.701754,5.488485125009902,5484.708542004228,3.0657403469754936,0.24130838789652959,1.6992459168054486,1.402580072359782,1.1353695539045001,1.601145,8.22,12.07,18.43,0.9999999999999484,1,3.1068833007161225,0.9999999999996781,interaction,,,,,,
SAC,145,9,1757760227.1679099,5.466169500024989,5462.291333009489,3.9534474437941745,0.34364397639543814,2.694135905986209,2.286014345633787,1.879834791863325,1.923806,3.97,5.42,8.19,0.849496509012465,1,0.1901457928206256,0.06120145960317745,interaction,,,,,,
SAC,145,10,1757760232.7598422,5.5919302919646725,5582.86229101941,3.1343518964561037,0.35538449064392946,2.7951083858099115,2.328234695859252,2.022047562993285,1.63324,6.22,9.09,12.05,0.87013803141152,1,0.5430864330080036,0.18995748361730533,interaction,,,,,,
SAC,145,11,1757760238.3320389,5.572209750069305,5517.125749960542,3.0114841884665173,0.3765925171558933,2.1377758971733893,1.7909950067536289,1.5609904071668836,1.404638,13.12,18.69,24.61,0.9999999999999374,1,2.5584378109021166,0.9999999999996091,interaction,,,,,,
SAC,145,12,1757760243.826255,5.494231624994427,5466.018334031105,3.00010176588609,0.22007817293579235,1.5508951657635126,1.349028800115419,1.1683466161127178,1.6489,8.57,11.33,15.12,0.4198424984108314,2,0.0,0.0,interaction,,,,,,
SAC,145,13,1757760249.2949498,5.468711709021591,5442.022750037722,3.0546712578437676,0.2541488481707992,1.6112308994524294,1.4272471018511992,1.0472825229039475,1.527645,10.22,13.03,24.2,0.8937019732947892,1,0.7644599166420105,0.3369427402439494,interaction,,,,,,
