algo,seed,evaluation,timestamp,wall_time_s,t_env_ms,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,rank,cd_raw,cd_tilde,phase,loss_critic,loss_actor,alpha,update_time_ms,loss_critic1,loss_critic2
SAC,619,1,1757768543.089036,5.474800791940652,5470.7021249923855,3.514651378738902,0.3272588191015945,1.4667107190197277,1.0904493577851508,0.8886537562105713,1.368987,15.45,27.96,42.07,1.0,1,inf,1.0,interaction,,,,,,
SAC,619,2,1757768548.585658,5.4966593330027536,5493.1025840342045,4.73705429590044,0.37122329220655936,1.4368579640291184,0.9518022531878103,0.6214787080237896,1.408579,11.4,25.99,60.9,1.0,1,inf,1.0,interaction,,,,,,
SAC,619,3,1757768554.059969,5.474347707931884,5468.190040905029,5.420314763040237,0.3346012467377065,2.8392163354762183,2.4658447837663524,2.102148868773292,2.125943,2.39,2.76,3.4,1.0,1,inf,1.0,interaction,,,,,,
SAC,619,4,1757768559.5557902,5.495859333081171,5491.826832992956,3.6716386032658255,0.2734573997693298,2.4591564514617885,2.2564305488086585,1.8492522047788191,2.154667,3.57,4.13,6.13,0.41570220623686865,2,0.0,0.0,interaction,,,,,,
SAC,619,5,1757768565.073836,5.518083291943185,5513.407167047262,5.157583427183489,0.21532187314465928,1.722754890089397,1.459088019270467,1.2624783168584148,2.750633,2.67,3.27,4.14,0.41570220623686865,2,0.0,0.0,interaction,,,,,,
SAC,619,6,1757768570.599456,5.525661332998425,5475.22566607222,4.270725262547613,0.3776376982811145,2.463820732694263,2.350533894559635,2.2483854956981015,2.048915,4.83,5.3,5.82,0.9999999999999478,1,3.231935709361012,0.9999999999996906,interaction,,,,,,
SAC,619,7,1757768576.073364,5.473948291968554,5446.490040980279,3.0192167802170333,0.20760864706723758,2.7061999602968774,2.2929507442661836,1.7938337163633682,2.311798,2.8,3.51,5.51,0.41570220623686865,2,0.0,0.0,interaction,,,,,,
SAC,619,8,1757768581.639574,5.566225582966581,5533.045332995243,3.1683420841001926,0.3269365394410646,2.3169497084028894,1.9579543862651576,1.483359434237601,1.551119,7.6,10.65,18.56,0.9999999999999398,1,2.800464878740887,0.9999999999996428,interaction,,,,,,
SAC,619,9,1757768587.19928,5.559741541976109,5522.1025419887155,5.481522833974856,0.2067033331649876,1.1965420342374773,0.699758894423586,0.5060620617445367,2.178048,3.81,11.13,21.29,0.2771348041579124,3,0.0,0.0,interaction,,,,,,
SAC,619,10,1757768592.753547,5.55430870805867,5525.496292044409,3.007667499138922,0.22664253780103366,1.1270374451270015,0.6270542745220622,0.5000015431803528,1.341488,17.14,55.32,87.0,1.0,1,inf,1.0,interaction,,,,,,
